artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Get Scared,Best Kind Of Mess,Sarcasm,40i81AcCCxiVEFUWElcjZC,0.387,0.929,7,-4.825,0.161,0.00238,7.22e-06,0.314,0.591,180.359,198080,4,Angry,"{'title': 'Get Scared – Sarcasm Lyrics', 'lyrics': ""[Intro]\n(And it is from this world of darkness which come the evil, destructive forces of man's nature)\n\n[Verse 1]\nYou've got me shaking from the way you're talking\nMy heart is breaking, but there's no use crying\nWhat a cyanide surprise you have left for my eyes\nIf I had common sense, I'd cut myself or curl up and die\n\n[Pre-Chorus]\nSticks and stones could break my bones\nBut anything you say will only fuel my lungs\n\n[Chorus]\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be loved\nYou pollute the room with a filthy tongue\nWatch me choke it down so I can throw it up\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be hanging by the neck\nBefore an audience of death\n\n[Verse 2]\nYou could be the corpse and I could be the killer\nIf I could be the devil then you could be the sinner\nYou could be the drugs and I could be the dealer\nEverything you said is like music to my ears\nYou could be the corpse and I could be the killer\nIf I could be the devil then you could be the sinner\nYou could be the drugs then I could be the dealer\nEverything you said is like music to my, music to my ears\n[Chorus]\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be loved\nYou pollute the room with a filthy tongue\nWatch me choke it down so I can throw it up\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be hanging by the neck\nBefore an audience of death\n(Before an audience)\n\n[Bridge]\nFailure find me\nTo tie me up now\n'Cause I'm as bad, as bad as it gets\nFailure find me\nTo hang me up now\nBy my neck, 'cause I'm a fate worse than death\n\n[Pre-Chorus]\nWhat a cyanide surprise you have left for my eyes\nIf I had common sense, I'd cut myself or curl up and die\n(I wanna fucking die!)\n\n[Chorus]\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be loved\nYou pollute the room with a filthy tongue\nWatch me choke it down so I can throw it up\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be hanging by the neck\nBefore an audience\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be loved\nYou pollute the room with a filthy tongue\nWatch me choke it down so I can\n[Outro]\nDon't mind us, we're just spilling our guts\nIf this is love, I don't wanna be hanging by the neck\nBefore an audience of death\n(Fuck you all!)""}"
Panic! At The Disco,Death of a Bachelor,Victorious,6od5hFv9IT5JHc7NEF9HRv,0.57,0.865,8,-4.518,0.0472,0.00205,0.0,0.404,0.691,110.01,178600,4,Angry,"{'title': 'Victorious Lyrics - Panic! at the Disco', 'lyrics': ""[Intro]\nTonight we are victorious\nChampagne pouring over us\nAll my friends were glorious\nTonight we are victorious\nOh-oh-oh-oh, victorious\nOh-oh-oh-oh-oh\n\n[Verse 1]\nDouble bubble disco queen headed to the guillotine\nSkin as cool as Steve McQueen, let me be your killer king\nIt hurts until it stops, we will love until it's not\nI'm a killing spree in white, eyes like broken Christmas lights\n\n[Pre-Chorus]\nMy touch is black and poisonous\nAnd nothing like my punch-drunk kiss\nI know you need it, do you feel it?\nDrink the water, drink the wine\n\n[Chorus]\nOh we gotta turn up the crazy\nLivin' like a washed-up celebrity\nShooting fireworks like it's the Fourth of July\nUntil we feel alright\nUntil we feel alright\n\n[Verse 2]\nI'm like a scarf trick, it's all up the sleeve\nI taste like magic, waves that swallow quick and deep\nThrow the bait, catch the shark, bleed the water red\nFifty words for murder and I'm every one of them\n\n[Pre-Chorus]\nMy touch is black and poisonous\nAnd nothing like my punch-drunk kiss\nI know you need it, do you feel it?\nDrink the water, drink the wine\n\n[Chorus]\nOh we gotta turn up the crazy\nLivin' like a washed-up celebrity\nShooting fireworks like it's the Fourth of July\n\n[Bridge]\nTonight we are victorious\nChampagne pouring over us\nAll my friends we're glorious\nTonight we are victorious\nTonight we are victorious\nChampagne pouring over us\nAll my friends we're glorious\nTonight we are victorious\n\n[Chorus]\nOh we gotta turn up the crazy\nLivin' like a washed-up celebrity\nShooting fireworks like it's the Fourth of July\nUntil we feel alright\nUntil we feel alright\n\n[Outro]\nTonight we are victorious\nChampagne pouring over us\nAll my friends we're glorious\nTonight we are victorious""}"
UNSECRET,Revolution,Revolution,46Sn7gBhrazysOQulddM07,0.467,0.759,8,-7.527,0.0417,0.493,0.0723,0.125,0.524,169.91,277615,4,Angry,"{'title': 'UNSECRET – Revolution Lyrics', 'lyrics': ""[Verse 1]\nThe earth hungers for blood\nThere's a riot in us\nOoh, ooh, ooh, ooh, ooh\nOoh, ooh, ooh, ooh\nFate thickens the air\nWe know our time is near\nOoh, ooh, ooh, ooh, ooh\nOoh, ooh, ooh, ooh\n\n[Chorus]\nThis is a revolution\nWe are rising up\nWe are rising up\nThis is a revolution\nWe are rising up\nWe are rising up\nThis is a revolution\n\n[Verse 2]\nOne moment in time\nTo carve our names with fire\nOoh, ooh, ooh, ooh, ooh\nOoh, ooh, ooh, ooh\nWith everything on the line\nWatch the world ignite\nOoh, ooh, ooh, ooh, ooh\nOoh, ooh, ooh, ooh\n\n[Chorus]\nThis is a revolution\nWe are rising up\nWe are rising up\nThis is a revolution\nWe are rising up\nWe are rising up\n\n[Bridge]\nRevolution\nRevolution\nRevolution\n\n[Chorus]\nThis is a revolution\nWe are rising up\nWe are rising up\nThis is a revolution\nWe are rising up\nWe are rising up\n\n[Chorus]\nThis is a revolution\nWe are rising up\nWe are rising up\nThis is a revolution\nWe are rising up\nWe are rising up\nThis is a revolution\n\n[Outro]\nOoh, ooh, ooh, ooh, this is a revolution\nOoh, ooh, ooh, ooh, this is a revolution""}"
AViVA,BLACKOUT,BLACKOUT,7LEMezp5TN5VKdnRLIdxEt,0.598,0.468,9,-6.25,0.195,0.027,0.0243,0.109,0.797,179.91,197589,4,Angry,NaN
AViVA,CEMETERY,CEMETERY,4elEowCFkEBLejkgJOGcba,0.674,0.557,9,-7.981,0.0594,0.203,0.00013,0.389,0.405,145.024,185720,4,Angry,"{'title': 'AViVA – CEMETERY Lyrics', 'lyrics': ""[Verse 1]\nIn the dead of night\nNobody near you, nothing, no light\nMake it fight or flight\nAt the\u2005end\u2005of the day,\u2005things don't feel right\nMeet me here\u2005tonight\nIn the darkness of this moonlit park\nI could be your bride\nBut I can't promise I won't break your heart\n\n[Pre-Chorus]\nMonsters calling, hearing them talking\nWaiting down here for you\n\n[Chorus]\nMeet me in the cemetery\nGet it in your head, where it's gonna end\nMeet me in the cemetery\nGet it in your head, we can play pretend\nWe can play pretend, we can play pretend\nWe can do it all night, doesn't have to end\nMeet me in the cemetery\nGet it in your head, get it in your head\n\n[Verse 2]\nYou let your heart take flight\nTrusted my style, thought you'd stay for a while\nTo your own demise\nShoulda listened to your friends calling me a reptile\nNobody's gonna hear your cries\nTinted windows, driving by\nI guess it's do or die\nLet me drag you down to the end of the line\n[Pre-Chorus]\nMonsters calling, hearing them talking\nWaiting down here for you\n\n[Chorus]\nMeet me in the cemetery\nGet it in your head, where it's gonna end\nMeet me in the cemetery\nGet it in your head, we can play pretend\nWe can play pretend, we can play pretend\nWe can do it all night, doesn't have to end\nMeet me in the cemetery\nGet it in your head, get it in your head\n\n[Bridge]\nTrust what you're feelin'\nI'm still revealin'\nEverything is fine, fine\nTrust what you're feelin'\nI'll have you kneelin'\nYou're gonna be mine, mine\nMine, mine\nMine\n\n[Chorus]\nMeet me in the cemetery\nGet it in your head, where it's gonna end\nMeet me in the cemetery\nGet it in your head, we can play pretend\nWe can play pretend, we can play pretend\nWe can do it all night, doesn't have to end\nMeet me in the cemetery\nGet it in your head, get it in your head\n[Outro]\nMeet me in the cemetery\nGet it in your head, get it in your head\nMeet me in the cemetery\nGet it in your head, get it in your head""}"
AViVA,PSYCHO,PSYCHO,5ndQfV7CYyOp6l6xW3BJQe,0.631,0.558,7,-5.767,0.0406,0.0369,0.00197,0.349,0.321,140.005,214355,4,Angry,"{'title': 'AViVA – PSYCHO Lyrics', 'lyrics': ""[Verse 1]\nYou chain me up, still speculating\nNever enough but soon, you'll see I'm unrestrainable\nI'm uncontainable\nAny moment,\u2005I'll\u2005have you begging\nDon't\u2005turn your back\nOh, can't you see\u2005that I'm untamable?\nI'm unmistakable\n\n[Pre-Chorus]\nI'm hearing it all, I hear it in my head\nWhispering, they're whispering again\nHearing it all, they see me as a threat\nPushing me, keep pushing to the edge\n\n[Chorus]\nYou keep calling me a psycho\nGot it in my head, careful what you say\nThink you might be right though\nYou made me a psycho, a psycho\nYou keep calling me a psycho\nThought that I was scared but I came prepared\nThink you might be right though\nYou made me a psycho, a psycho\nYou made me a psycho, a psycho\nYou made me a psycho, a psycho\n[Verse 2]\nYou won't stop me, don't bother trying\nNever enough 'cause soon, you'll see I'm unrestrainable\nI'm uncontainable\nI always search for light in darkness\nYou'll never think I'm weak 'cause I'm untamable\nI'm unmistakable\n\n[Pre-Chorus]\nI'm hearing it all, I hear it in my head\nWhispering, they're whispering again\nHearing it all, they see me as a threat\nPushing me, keep pushing to the edge\n\n[Chorus]\nYou keep calling me a psycho\nGot it in my head, careful what you say\nThink you might be right though\nYou made me a psycho, a psycho\nYou keep calling me a psycho\nThought that I was scared but I came prepared\nThink you might be right though\nYou made me a psycho, a psycho\nYou made me a psycho, a psycho\nYou made me a psycho, a psycho\n[Pre-Chorus]\nI'm hearing it all, I hear it in my head\nWhispering, they're whispering again\nHearing it all, they see me as a threat\nPushing me, keep pushing to the edge\n\n[Chorus]\nYou keep calling me a psycho\nGot it in my head, careful what you say\nThink you might be right though\nYou made me a psycho, a psycho\nYou keep calling me a psycho\nThought that I was scared but I came prepared\nThink you might be right though\nYou made me a psycho, a psycho""}"
Pomplamoose,Hey It's Pomplamoose,Bust Your Knee Caps - Johnny Don't Leave Me,1uRKeDUiD4fDUEAjXbmYr6,0.408,0.563,9,-5.97,0.0374,0.0473,0.0,0.0781,0.558,118.543,185316,3,Angry,"{'title': 'Pomplamoose – Bust Your Knee Caps Lyrics', 'lyrics': ""[Verse 1]\nJohnny, don't leave me\nYou said you'd love me forever\nHoney, believe me\nI'll have your heart on a platter\n\n[Pre-Chorus 1]\nMight you recall?\nWe've got a small family business (business)\nAnd the family won't like this\n\n[Chorus]\nThey'll bust your knee caps\nOoh wop, dee doo-wop, dee doo\nThey'll bust your knee caps\nOoh wop, dee doo-wop, dee doo\n\n[Verse 2]\nJohnny, you told me\nYou were no fool, you were no chump\nThen you got cold feet\nNow all you'll be is a speed bump\n\n[Pre-Chorus 2]\nIt's something we call (something we call)\nOh, just a small family business (business)\nAnd the family won't like this\n\n[Chorus]\nThey'll bust your knee caps\nOoh wop, dee doo-wop, dee doo\nThey'll bust your knee caps\nThat's what they're going to do\n\n[Verse 3]\nJohnny, there's still time\nTogether I know, we'd go so far\nI'll tell uncle Rocco\nTo call off the guys with the crowbars\n\n[Pre-Chorus 3]\nYou call it crime\nWe call it smart family business (business)\nAnd the family is famous\n\n[Bridge]\n(Let's bust some knee caps!)\n(Bust your knee caps\nOooh, bust your knee caps)\n\n[Pre-Chorus 4]\nIt's such a shame\nThat you became such an issue\nOh dear Johnny, I'll miss you\n\n[Chorus]\nThey'll bust your knee caps\n(Ooh wop, dee doo-wop, dee doo)\nThey'll bust your knee caps\nThat's what they're going to do\n(Ooh wop, dee doo-wop, dee doo)\nProbably some other stuff too\nThey'll bust your knee caps\nOoh wop, dee doo-wop, dee doo\nThey'll bust your knee caps\nOoh yeah, they're coming for you\n\n[Outro]\nBust your knee caps\nOoh, bust your knee caps\nBust your knee caps\nOoh, bust your knee caps""}"
Twenty One Pilots,Heathens,Heathens,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4,Angry,NaN
AViVA,RULES,RULES,0uqRWZUk6LQNPSTKt34mOt,0.779,0.665,8,-5.911,0.0489,0.142,0.000301,0.0752,0.574,119.979,206391,4,Angry,"{'title': 'AViVA – RULES Lyrics', 'lyrics': ""[Verse 1]\nDon't wanna hear your voice\nThink that you know me but you're all wrong\nGot it all\u2005wrong\nThought\u2005you might change\u2005my mind\nThought that you had me\u2005but you're all wrong\nGot it all wrong\n\n[Pre-Chorus]\nYou're watching all the time\nYou think you're closer but you're not\nDon't try looking in, please don't force me to lie\nMight think I'm being cruel\nNot playing by your rules\nThere's nothing I can say, not gonna change my mind (Change my mind)\n\n[Chorus]\nI learnt to play by my own rules\nYou'll only see what I let you\nWhat I let you, what I let you\nI learnt to play by my own rules\nYou'll only see what I let you\nWhat I let you, what I let you\n\n[Verse 2]\nStill not safe this time\nYou can keep praying but you're still wrong\nGot me all wrong\nIn the end, you'll lose your mind\nCan't understand things out of this world\nI'm out of your world\n\n[Pre-Chorus]\nYou're watching all the time\nYou think you're closer but you're not\nDon't try looking in, please don't force me to lie\nMight think I'm being cruel\nNot playing by your rules\nThere's nothing I can say, not gonna change my mind (Change my mind)\n\n[Chorus]\nI learnt to play by my own rules\nYou'll only see what I let you\nWhat I let you, what I let you\nI learnt to play by my own rules\nYou'll only see what I let you\nWhat I let you, what I let you\n\n[Bridge]\nRules, not playing by your rules\nNot playing by your rules\nNot playing by your rules\nRules, not playing by your rules\nNot playing by your rules\nNot gonna change my mind (Change my mind)\n\n[Chorus]\nI learnt to play by my own rules\nYou'll only see what I let you\nWhat I let you, what I let you\nI learnt to play by my own rules\nYou'll only see what I let you\nWhat I let you, what I let you\n\n[Outro]\nThink that you know me but you're all wrong\nGot it all wrong, got it all wrong\nThought that you had me but you're all wrong\nGot it all wrong, got it all wrong""}"
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,0.726,0.444,8,-8.922,0.372,0.283,0.143,0.177,0.569,185.044,168840,4,Angry,"{'title': 'Billie Eilish - \u200ball the good girls go to hell (Polskie Tłu', 'lyrics': '[Intro]\nMój Lucyfer jest samotny\n\n[Zwrotka 1]\nStoję tam, zabijam czas\nNie jestem w stanie popełnić niczego, oprócz zbrodni\nŚwięty Piotr jest na wakacjach, zaproszenie otwarte\nZwierzęta, świadectwa\nBramy do nieba wyglądają bardziej jak drewniany płot\nKiedy już przez nie przejdziesz\nNie będziesz mógł zaprosić przyjaciół\n\n[Pre-Refren]\nWzgórza palą się w Kalifornii\nMoja kolej, żeby cię zignorować\nNie mów, że nie ostrzegałam\n\n[Refren]\nWszystkie grzeczne dziewczyny idą do piekła\nPonieważ nawet sama Bóg ma wrogów\nA kiedy woda zacznie się podnosić\nI Niebo zniknie z widoku\nBędzie chciała mieć diabła po swojej stronie\n\n[Po refrenie]\nMój Lucyfer jest samotny\n[Zwrotka 2]\nPopatrz na siebie, potrzebującego mnie\nWiesz, że bez pieniędzy nie będę twoją przyjaciółką\nPójdź w kajdanach\nPiotr powinien wiedzieć lepiej\nTwoja fasada się rozpada\nTen facet jest głupkiem, dlaczego go ratujemy?\nTruje sam siebie\nI jeszcze chce od nas pomocy? Wow\n\n[Pre-Refren]\nWzgórza palą się w Kalifornii\nMoja kolej, żeby cię zignorować\nNie mów, że nie ostrzegałam\n\n[Refren]\nWszystkie grzeczne dziewczyny idą do piekła\nPonieważ nawet sama Bóg ma wrogów\nA kiedy woda zacznie się podnosić\nI Niebo zniknie z widoku\nBędzie chciała mieć diabła po swojej stronie\n\n[Po refrenie]\nMój Lucyfer jest samotny\nNie ma już niczego, co można by uratować\nMój bóg będzie mi wisiał\nNie ma już niczego, co można by uratować\n[Outro]\n[śmiech]\nNie umiem zrobić tego orzełka'}"
