artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Tom Rosenthal,Z-Sides,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,3,-16.887,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4,Calm,"{'title': ""Tom Rosenthal – Lights are on but Nobody's Home Lyr"", 'lyrics': ""God stood me up and I don’t know why\nLights are on but nobody’s home\nThere ain't no love like our love\nThere ain't no love like our love\nLike our love\n\nFalling down and over again\nLights are on but nobody’s home\nThere ain't no love like our love\nThere ain't no love like our love\nLike our love\n\nThere ain't no love like our love\nThere ain't no love like our love""}"
Maggie Rogers,Notes from the Archive: Recordings 2011-2016,New Song,3PUMPtOSeXSJsBvK43K96b,0.65,0.28,4,-7.442,0.0305,0.495,3.55e-06,0.106,0.103,119.939,382613,3,Calm,"{'title': 'Maggie Rogers – Outro - Notes from the Archive: Rec', 'lyrics': ""So, yeah, now you've heard everything and it feels amazing [laughs] to be up to date. As I'm looking backwards in order to look forward what I'm realizing is it what there all along. You know, I am in so many ways still the artist that I was when I was eighteen, but the difference is I think I'm only just now starting to really believe it and it means that I can't wait to see what I make next because I think for a while I needed to prove it. I needed to prove to myself that I could do this and that I could make it my life. But now there's nothing to prove. The only thing that's left is the music and that is almost the greatest challenge of all because the only person I have to please is myself\n\nLike, this next batch of music, as I'm thinking about making it, like, or as I'm working through the process and hearing parts of these records and these things I've done and how my past is weaving it's way back into my present. I mean, that's the most emotional thing about listening through to all of this music it's just I'm in this place now where every dream I have possibly ever had or said under my breath or even thought was too big to try and dream about I've been able to do. And the real question I'm asking is: Where do I go from here?\n\nYou know, with the support of many, many, many people I have been afforded the opportunity to do this with my life and I take that responsibility very seriously. It feels like the greatest gift that anyone has ever given me and it feels like I have really been tasked with the role of feeling everything I possibly can and reporting back. Like, it's– it, like, makes me teary to think about trying to tell that eighteen-year-old girl, like, what my life looks like now, but it makes me so happy. It's absolutely everything I've ever wanted. There is nothing else in my life I have every loved more that doing this thing and the fact that I get to do it everyday still completely blows my mind, and it, like, it brings me more joy and sense of purpose than anything and is the only thing in this time that is so uncertain that makes me feel completely at peace and alive and I– I just I hope I get to do it for the rest of my life""}"
Noah Kahan,Cape Elizabeth,Maine,3Z2anmIVG8b1GelyeFQdnP,0.533,0.24,6,-9.512,0.0424,0.729,0.0,0.223,0.265,175.486,232618,4,Calm,"{'title': 'Noah Kahan – Maine Lyrics', 'lyrics': '[Verse 1]\nTell me, lover\nNow that you made your change\nWas your soul rediscovered?\nWas your heart rearranged?\nAre you\u2005still\u2005taking pills in\u2005the morning?\nAnd did you lose that\u2005longing now?\nFor a walk through an ocean town\n\'Cause this town\'s\u205fjust\u205fan\u205focean now\n\n[Verse 2]\nYou don\'t\u205fhate the summers\nYou\'re\u205fjust afraid of the space\nAsking strangers for answers\nTo forget what they say\nA boat beside a dock in the sunlight\nNothing but the water and the sunrise now\nJust the lack of an open mouth\n\'Cause this town\'s just an ocean now\n\n[Chorus]\nBad\nI\'ll miss this place, your head and your heart\nAnd my dad still tells me when they\'re playing your songs\nLaughing at the way that you would say\n""If only, baby, there were cameras in the traffic lights\nThey\'d make me a star\nThey\'d make me a star""\n\n[Post-Chorus]\nI wanna go to Maine, mmm\nI wanna go to Maine, oh\n\n[Chorus]\nBad\nI\'ll miss this place, your head and your heart\nAnd my dad still tells me when they\'re playing your songs\nLaughing at the way\nThat you would say\n""If only, baby, there were cameras in the traffic lights\nThey\'d make me a star\nThey\'d make me a star""\n\n[Post-Chorus]\nI wanna go to Maine\nI wanna go to Maine, God\n\n[Outro]\nTell me, lover\nOnce you\'ve had your change of heart\n\'Cause we\'re no more than the fossils\nOn Crescent Beach State Park\nAnd we used to sing along to church bells on Sundays\nAnd can you even hear em from the subway now?\nAnd I hope that we make you proud\n\'Cause this town\'s just an ocean now'}"
Jordy Searcy,Dark in the City,Love & War in Your Twenties,4ZRrMMzxprxmGneblonNz7,0.736,0.525,2,-9.694,0.0296,0.22,0.00153,0.127,0.529,102.986,250547,4,Calm,"{'title': 'Jordy Searcy – Love & War In Your Twenties Lyrics', 'lyrics': ""[Verse 1]\nYour twenties are for spending hours and hours pretending\nWe have plans and we have places we should visit\nBut everybody knows your twenties are for wasting time\n\n'Cause you could be with anyone you wanted, you could\nTake that job they offered and move down by the ocean\nBut I love the way your hand feels when its under mine\n\n[Chorus 1]\nI don’t wanna take the world for granted\nWhile I’m still trying to understand it\nThe more I live, I am convinced\nEveryone just wants to be in love\n\n[Verse 2]\nThis world makes me dizzy; how’d we get so busy?\nNo one tries to take the time it takes to turn your\nLove into a love or friends into a family\n\nWell, I don’t want any false religion\nI will practice loving you with no conditions\nAnd I’ll give up what I have to just so I can have you\n\n[Chorus 2]\nEverybody’s chasing something\nBut they don’t know they’re chasing someone\nThe more I live I am convinced\nEveryone just wants to be in love\n\n[Bridge]\nLots of little life we take for granted when we\nFinish our Decembers empty-handed\nBut I’m never empty-handed when I’m holding your hand\n\nI may never be a politician\nOr make a lot of money, or hold a high position\nBut baby, you’re my mission and all my glory days are yours\n\n[Chorus 1]\nI don't wanna take the world for granted\nWhile I'm still trying to understand it\nThe more I live, I am convinced\nEveryone just wants to be in love""}"
Noah Cyrus,July (feat. Leon Bridges),July (feat. Leon Bridges),3V0nnQhqvbE3JmiDdnzQFQ,0.708,0.211,9,-9.603,0.0424,0.853,0.0,0.131,0.362,72.5,152280,4,Calm,"{'title': 'Noah Cyrus & Leon Bridges – July Lyrics', 'lyrics': ""[Verse 1: Noah Cyrus]\nI've been holding my breath\nI've been counting to ten over something you said\nI've been holding\u2005back\u2005tears while you're\u2005throwing back beers\nI'm alone in my\u2005bed\n\n[Pre-Chorus: Noah Cyrus]\nYou know I, I'm afraid of change\nGuess that's why we stay the same\n\n[Chorus: Noah Cyrus]\nSo tell me to leave\nI'll pack my bags, get on the road\nFind someone that loves you better than I do, darling, I know\n'Cause you remind me every day\nI'm not enough, but I still stay\n\n[Verse 2: Leon Bridges]\nFeels like a lifetime\nJust tryna get by while we're dying inside\nI've done a lot of things wrong\nLoving you being one, but I can't move on (Oh, I)\n\n[Pre-Chorus: Leon Bridges]\nYou know I, I'm afraid of change\nGuess that's why we stay the same\n[Chorus: Leon Bridges]\nSo tell me to leave\nI'll pack my bags, get on the road\nFind someone who gives you all of the things I could not know\n'Cause I keep fighting all the ways\nI let you down so I can stay\n\n[Bridge: Noah Cyrus & Leon Bridges, Both]\nIf you want me to leave\nThen tell me to leave and, baby, I'll go\nAnd, baby, I'll go\n\n[Outro: Noah Cyrus & Leon Bridges]\nYou remind me every day\nI'm not enough, but I still stay""}"
The Head And The Heart,The Head and the Heart,Down in the Valley,0hgfbmstNlUnrNixEhx1VM,0.417,0.395,0,-11.416,0.029,0.505,0.0272,0.113,0.178,105.841,303653,4,Calm,"{'title': 'The Head And The Heart – Down in the Valley Lyrics', 'lyrics': ""I wish I was a slave to an age-old trade\nLike ridin' around on railcars and workin' long days\n\nLord have mercy on my rough and rowdy ways\nLord have mercy on my rough and rowdy ways\n\nCall it one drink too many\nCall it pride of a man\nBut it don't make no difference if you sit or you stand\n\nCause they both end in trouble and start with a grin\nYeah they both end in trouble and start with a grin\n\nWe do it over and over and over again\nWe do it over and over and over again\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nI know there's California, Oklahoma\nAnd all of the places I ain't ever been to but\nDown in the valley with\nWhiskey rivers\nThese are the places you will find me hidin'\nThese are the places I will always go\nThese are the places I will always go\n\nI am on my way\nI am on my way\nI am on my way back to where I started\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nOne more for the stars and the eyes of the walls\nI saw your face, I heard you callin' out\n\nI saw your face in the crowd and you came out\nJust like the sun and the moon and the stars at night\n\nThere was a sign on the door and it reads to me\nJust like the sun and the moon and the stars at night\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nOh-oh, Oh-oh, Oh-oh-oh-oh, Oh-oh\n\nI am on my way\nI am on my way\nI am on my way back to where I started\n\nCalifornia, Oklahoma\nAnd all of the places I ain't ever been to but\nDown in the valley with\nWhiskey rivers\nThese are the places you will find me hidin'\nThese are the places I will always go\nThese are the places I will always go\n\nSo I wish I was a slave to an age-old trade\nLord have mercy on my rough and rowdy ways""}"
Lizzy McAlpine,Give Me A Minute,To the Mountains,2CK9xYMVdmJMPKZyArVbt4,0.461,0.147,4,-14.022,0.033,0.918,0.000638,0.0846,0.267,78.809,193800,1,Calm,NaN
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,0.652,0.545,1,-9.021,0.0358,0.774,0.0428,0.0847,0.626,107.019,229760,4,Calm,"{'title': 'Phoebe Bridgers – Motion Sickness Lyrics', 'lyrics': ""[Verse 1]\nI hate you for what you did\nAnd I miss you like a little kid\nI faked it every time\nBut that's alright\nI can hardly feel anything\nI hardly feel anything at all\n\n[Verse 2]\nYou gave me fifteen hundred\nTo see your hypnotherapist\nI only went one time\nYou let it slide\nFell on hard times a year ago\nWas hoping you would let it go, and you did\n\n[Chorus]\nI have emotional motion sickness\nSomebody roll the windows down\nThere are no words in the English language\nI could scream to drown you out\n\n[Verse 3]\nI'm on the outside looking through\nYou're throwing rocks around your room\nAnd while you're bleeding on your back\nIn the glass\nI'll be glad that I made it out\nAnd sorry that it all went down like it did\n\n[Chorus]\nI have emotional motion sickness\nSomebody roll the windows down\nThere are no words in the English language\nI could scream to drown you out\nHey, why do you sing with an English accent?\nI guess it's too late to change it now\nYou know I'm never gonna let you have it\nBut I will try to drown you out\n\n[Bridge]\nYou said when you met me, you were bored\nYou said when you met me, you were bored\nAnd you, you were in a band when I was born\n\n[Chorus]\nI have emotional motion sickness\nI try to stay clean and live without\nAnd I want to know what would happen\nIf I surrender to the sound\nSurrender to the sound""}"
Trousdale,Wouldn't Come Back,Wouldn't Come Back,1zeQjPT367QcGrkpIXYjuW,0.602,0.234,11,-9.419,0.0334,0.635,2.54e-06,0.0987,0.307,124.964,219533,4,Calm,"{'title': ""Trousdale – Wouldn't Come Back Lyrics"", 'lyrics': ""[Intro]\nAh, ah\nAh, ah\n\n[Verse 1]\nIn matters of the heart\nMy hands are tied, my sleeves are torn\nI gave you all I have to give\nYou always wanted more\n\n[Pre-Chorus]\nSlowly, we grow apart\nCloser to who we are\n\n[Chorus]\nBaby, if I keep runnin' to you\nI’ll be runnin' 'til my feet turn black\n’Til my lungs collapse and I wouldn't come back\nI can't give another year to you\nAnother second's gonna drive me mad\nAnd I won't do that 'cause I wouldn't come back\nI wouldn't come back\n\n[Post-Chorus]\nAh, ah\nAh, ah\n[Verse 2]\nLike the old man and the sea\nI wasn’t meant to take you in\nI find when I’m without you\nI am with myself again\n\n[Pre-Chorus]\nYou're whisperin’ in my ear\nYour hands on me make it clеar\n\n[Chorus]\nBaby, if I keep runnin' to you\nI'll be runnin' ’til my feet turn black\n'Til my lungs collapse and I wouldn't come back\nI can't givе another year to you\nAnother second's gonna drive me mad\nAnd I won't do that 'cause I wouldn't come back\nI wouldn't come back\n\n[Post-Chorus]\nAh, ah\n(I wouldn't come back) Ah\nAh, ah (Ah)\n\n[Bridge]\nAh, ah, ah\nAh, ah, ah, yeah\nI wouldn't come back\nBaby, if I keep runnin', runnin' to you\n[Outro]\n'Til my feet turn black, 'til my lungs collapse\nAnd I wouldn't come back\n'Til my feet turn black, 'til my lungs collapse\nAnd I wouldn't come back (Oh no)\n'Til my feet turn black, 'til my lungs collapse\nAnd I wouldn't come back\nIt's gonna drive me mad and I won't do that\n'Cause I wouldn't come back""}"
Wild Rivers,Songs to Break Up To,Thinking 'Bout Love,3d3LHam2Lc5ADEyJxG3fXE,0.732,0.328,5,-8.13,0.0327,0.487,0.0,0.0677,0.385,141.789,199391,4,Calm,"{'title': ""Wild Rivers – Thinking 'Bout Love Lyrics"", 'lyrics': ""[Verse 1]\nGuess we caught up with telling a lie\nNow you're leaving me lonely\nI could get in\u2005my\u2005car, end up\u2005drunk at some bar\nBut that was\u2005the old me\nRemember the night that we slept on the floor\nAnd you told me you loved me\nBet you don’t ever think 'bout that\n\n[Chorus]\nIt's kinda like a light went off\nAnd now you’re dead set on giving me up\nTalking like we're so far gone and\nThere ain't no use stitching it up\nWe could do the long haul\nWe could ride it out, I know the ride's rough\nBut try us\nYou're just thinking 'bout tomorrow\n\n[Verse 2]\nI'm on the road while you're waiting at home\nBut I swear I’ll be right back\nYou’ll find some man with no rock 'n’ roll band and maybe you'll like that\nRemember the lake when it started to rain, babe\nAnd I just held you\nBet you don't even think 'bout that\n\n[Chorus]\nIt’s kinda like a light went off\nAnd now you're dead set on giving me up\nTalking like we're so far gone and\nThere ain't no use stitching it up\nWe could do the long haul\nWe could ride it out, I know the ride's rough\nBut try us\nYou're just thinking 'bout tomorrow\nI'm just thinking 'bout love\n\nI'm just thinking 'bout love\nOh-oh-oh-oh\nOh-oh-oh-oh\n\n[Chorus]\nIt's kinda like a light went off\nAnd now you're dead set on giving me up\nTalking like we're so far gone and\nThere ain't no use stitching it up\nWe could do the long haul\nWe could ride it out\nI know the ride's rough, but try us\n\nYou're just thinking 'bout\nI'm just thinking 'bout\nI'm just thinking 'bout\nLove\nI'm just thinking 'bout love\nI'm just thinking 'bout love\nI wanna try us\nOh-oh-oh-oh\nI'm just thinking 'bout love\nOh-oh-oh-oh""}"
