artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Saint Motel,saintmotelevision,Sweet Talk,6kcHg7XL6SKyPNd78daRBL,0.67,0.843,1,-4.311,0.0454,0.0392,0.0,0.225,0.713,117.01,192040,4,Energy,"{'title': 'Saint Motel – Sweet Talk Lyrics', 'lyrics': '[Verse 1]\nOh, when it\'s cold\nI get warm just thinking of you\nWhen I\'m alone\nI stare at stars and hope dreams come true\n\n[Pre-Chorus]\nYou\'re probably not aware that I\'m even here\nWell you might not know I exist, but I don\'t even care\n\n[Chorus]\nSweet talk, everything you say\nIt sounds like sweet talk to my ears\nYou could yell, ""Piss off! Won\'t you stay away?""\nIt\'ll still be sweet talk to my ears\n\n[Verse 2]\nOh, when you laugh\nI forget that it\'s about me\nBut it\'s alright\nYeah, cause being your punchline still is something\n\n[Pre-Chorus]\nYeah, well, I\'m not scared, I\'m not going nowhere\nYeah, you might want me to drop dead, but I don\'t even care\n[Chorus]\nSweet talk, everything you say\nIt sounds like sweet talk to my ears\nYou could yell, ""Piss off! Won\'t you stay away?""\nIt\'ll still be sweet talk to my ears\n\n[Break]\nOoh, everything you say\nIt sounds like, ooh, to my ears\nOoh, ""Won\'t you stay away?""\nIt sounds like, ooh, to my ears\n\n[Chorus]\nSweet talk, everything you say\nIt sounds like sweet talk to my ears\nYou could yell, ""Piss off! Won\'t you stay away?""\nIt\'ll still be sweet talk to my ears'}"
Bad Suns,Disappear Here,Daft Pretty Boys,58hbLmAfFQA4zbxcbRCO4P,0.665,0.823,8,-5.686,0.059,0.048,0.0,0.0927,0.672,136.992,187013,4,Energy,"{'title': 'Bad Suns – Daft Pretty Boys Lyrics', 'lyrics': ""[Verse 1]\nShe's a sunrise dressed like dusk\nGoing out, she's getting into something\nHe's a moth drawn to a flame\nHe's going in, he's going all or nothing\nThey look so pretty from afar\n\n[Pre-Chorus]\nLike the gates of heaven are open now\nAnd my one true love has just waltzed right out, yeah\nThere's one thing about me that you should know\nThat I can't help from speaking my mind\n\n[Instrumental Chorus]\nOoh-ooh\n\n[Verse 2]\nThere's a dangerous kind of cool about you\nBut she didn't, no, she didn't know nothin'\nNow she swims right past his eyes\nWhere she didn't, no, she didn't find nothin'\n(Ahh-ahh, ahh-ahh)\nYou look so pretty from afar\n\n[Pre-Chorus]\nLike the gates of heaven are open now\nAnd my one true love has just waltzed right out, yeah\nThere's one thing about me that you should know\nThat I can't help from speaking my mind\n[Chorus]\nGirl, you waste your time on daft pretty boys\nAll the time in the world for chasing pretty girls\nYeah, you waste your time on daft pretty boys\nGot no time to waste on another pretty face, whoa-oh-oh\nGot no time to waste on another pretty face\n\n[Bridge]\nThere's one thing about me that you should know\nThat I can't help from speaking my mind\nI don't like you\nYou look so pretty from afar\nI despise you\nWhy you so fucking perfect on the outside?\nShe's a sunrise dressed like dusk\nGoing out, she's getting into something\nHe's going all or nothing\nI'm saying\n\n[Chorus]\nGirl, you waste your time on daft pretty boys\nAll the time in the world for chasing pretty girls\nYeah, you waste your time on daft pretty boys\nGot no time to waste on another pretty face\nGirl, you waste your time on daft pretty boys\nAll the time in the world for chasing pretty girls\nYeah, you waste your time on daft pretty boys\nGot no time to waste on another pretty face, whoa-oh-oh\nGot no time to waste on another pretty face, whoa-oh-oh-oh\nGot no time to waste on another pretty face, ooh""}"
Wallows,Nothing Happens,Remember When,5naar7XewEOAjOywIp6Jjq,0.504,0.708,11,-5.896,0.0343,0.00112,0.000424,0.788,0.51,82.009,155147,4,Energy,"{'title': 'Wallows – Scrawny Lyrics', 'lyrics': ""[Verse 1]\nUsed to be level with all my friends\nStill wear the same shoes I did back then\nI don't think they've ever been untied\nI can't regret the things I don't try\nI'd switch it up, but I don't like change\nOnly content if things stay the same\nDon't care to watch the story unfold\nHate feeling like I'm not in control\n\n[Pre-Chorus]\nI've been sleeping with the light on\nI tend to freak myself out\nWill you come a little closer now\nAnd tell me I'm a\n\n[Chorus]\nScrawny motherfucker with a cool hairstyle\nScrawny motherfucker with a cool hairstyle\nScrawny motherfucker with a cool hairstyle\nI'm a scrawny motherfucker with a cool hairstyle\n\n[Verse 2]\nI say the wrong shit at the right times\nIf I'm offending them, I don't mind\nMaybe they all should listen to me\nIt isn't all about what you see\nQuestion though, how do I look to you?\nAm I so thin that you can see through?\n\n[Pre-Chorus]\nI've been sleeping with the light off\nI wanted to remember\nWill you come a little closer now\nAnd see that I'm a\n\n[Chorus]\nScrawny motherfucker with a cool hairstyle\nScrawny motherfucker with a cool hairstyle\nScrawny motherfucker with a cool hairstyle\nI'm a scrawny motherfucker with a cool hairstyle\n\n[Bridge]\nI'll be one of those people you remember\nThey'll be looking at us when we're together\nI'll be a mannequin you can dismember\n\n[Chorus]\nYou don't like my clothes, but you still like my smile\nScrawny motherfucker with a cool hairstyle\nTake me home to mom, but it'll take awhile\nScrawny motherfucker with a cool hairstyle\nThey might think they're cooler than me by a mile\nScrawny motherfucker with a cool hairstyle\nI can still have wisdom and look like a child\nScrawny motherfucker with a cool hairstyle""}"
Colony House,When I Was Younger,Silhouettes,612JlaWJl5l6VIrcBck5QB,0.479,0.759,8,-6.82,0.0385,0.0137,0.0,0.093,0.574,164.997,177773,4,Energy,"{'title': 'Colony House – Silhouettes Lyrics', 'lyrics': ""[Verse 1]\nAre you half empty?\nWhy don't you fill up?\nThere's no sense in holding\nOnto something broken\nDid you lose something?\nOr someone you love?\nYou've still got that story\nTell it every morning\n\n[Chorus]\nDriving down a road, down a road that's stolen\nAll the lovely memories your heart's been holding\nNothing silhouettes 'til the lights come on\nNothing silhouettes 'til the lights come on\nDriving down a road, down a road that's hidden\nAll the faithful memories of faithful living\nNothing silhouettes 'til the lights come on\nNothing silhouettes 'til the lights come on\nSo come on!\n\n[Verse 2]\nNothing is perfect\nFor that there's no cure\nSo don't you start to bury\nThe good with the bad and the ugly\n\n[Chorus]\nDriving down a road, down a road that's stolen\nAll the lovely memories your heart's been holding\nNothing silhouettes 'til the lights come on\nNothing silhouettes 'til the lights come on\nDriving down a road, down a road that's hidden\nAll the faithful memories of faithful living\nNothing silhouettes 'til the lights come on\nNothing silhouettes 'til the lights come on\nSo come on!\n\n[Bridge]\nAnd I can feel your heartbeat slipping away\nIt's hard to catch the light\nWhen you're running from the day\nSo wait for it, wait for it, wait\n\n[Chorus]\nDriving down a road, down a road that's stolen\nAll the lovely memories your heart's been holding\nNothing silhouettes 'til the lights come on\nNothing silhouettes 'til the lights come on\nDriving down a road, down a road that's hidden\nAll the faithful memories of faithful living\nNothing silhouettes 'til the lights come on\nNothing silhouettes 'til the lights come on\nSo come on!""}"
The Wombats,Glitterbug,Pink Lemonade,2QqfM19xb0tcmf9gOONcW7,0.56,0.956,0,-4.366,0.0776,0.00406,1.55e-06,0.358,0.821,143.993,226107,4,Energy,"{'title': 'The Wombats – Pink Lemonade Lyrics', 'lyrics': ""[Verse 1]\nAnother magical Friday night\nI think I'll sit this one at home\nUnusual for me, I know\nBut please go ahead\nI don't wanna be\nThe blinking rabbit to your wildebeest\nThe jaded lover to his sex machine\nYou should go ahead\n\n[Pre-Chorus 1]\nAnd please give those recycled house tracks my warmest regards\nAnd lock the door if you're home before the sun, oh\n\n[Chorus]\nPink, pink lemonade\nAnd does he kiss you 'til your lips explode?\nPink, pink lemonade\nAnd does he take you places I can't afford to go?\nPink lemonade, you know I\nKnow behind that sugar there's only lies\nLies, lies, lies\n\n[Verse 2]\nAnother magical Friday night\nI wonder what state you're in\nIn the powder or in the gin?\nThis one's ending bad\n[Pre-Chorus 2]\nSo please give those recycled house tracks my warmest regards\nAnd, if you bring him home, can you use the spare bedroom? Oh\n\n[Chorus]\nPink, pink lemonade\nAnd does he kiss you 'til your lips explode?\nPink, pink lemonade\nAnd does he take you places I can't afford to go?\nPink lemonade, you know I\nKnow behind that sugar there's only lies\nLies, lies, lies\n\n[Bridge]\nAnd that's alright and that's okay\nIf I can write this song I can play that game\nAnd it's all good with me if I know it's all good with you\n'Cause getting lost in the middle of the in-between\nIs only half as frightening as it first may seem\nSo do whatever you must and I'll do whatever it must take\n\n[Outro]\nPink lemonade\nPink lemonade\nPink lemonade\nPink lemonade""}"
The Lumineers,Cleopatra,Cleopatra,5bzf1xrbqr1ttjAJuRz2xY,0.536,0.775,8,-6.765,0.0394,0.228,0.000143,0.0947,0.485,151.393,201413,4,Energy,"{'title': '\u200bThe Lumineers – Cleopatra Lyrics', 'lyrics': ""[Verse 1]\nI was Cleopatra, I was young and an actress\nWhen you knelt by my mattress, and asked for my hand\nBut I was sad you asked it, as I laid in a black dress\nWith my father in a casket, I had no plans\n\nAnd I left the footprints, the mud stained on the carpet\nAnd it hardened like my heart did when you left town\nBut I must admit it, that I would marry you in an instant\nDamn your wife, I'd be your mistress just to have you around\n\n[Chorus]\nBut I was late for this, late for that, late for the love of my life\nAnd when I die alone, when I die alone, when I die I'll be on time\n\n[Verse 2]\nWhile the church discouraged, any lust that burned within me\nYes my flesh, it was my currency, but I held true\nSo I drive a taxi, and the traffic distracts me\nFrom the strangers in my backseat, they remind me of you\n\n[Chorus]\nBut I was late for this, late for that, late for the love of my life\nAnd when I die alone, when I die alone, when I die I'll be on time\n\n[Bridge]\nAnd the only gifts from my Lord were a birth and a divorce\nBut I've read this script and the costume fits, so I'll play my part\n\n[Verse 3]\nI was Cleopatra, I was taller than the rafters\nBut that's all in the past now, gone with the wind\nNow a nurse in white shoes leads me back to my guestroom\nIt's a bed and a bathroom\nAnd a place for the end\n\n[Outro]\nI won't be late for this, late for that, late for the love of my life\nAnd when I die alone, when I die alone, when I die I'll be on time""}"
Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4,Energy,"{'title': 'Grouplove – Tongue Tied Lyrics', 'lyrics': ""[Intro]\nOh!\n\n[Verse 1]\nOoh\nTake me to your best friend's house\nGoin' 'round this roundabout, oh yeah\nOh, take me to your best friend's house\nI loved you then and I love you now, oh yeah\n\n[Chorus]\nDon't take me tongue-tied\nDon't wave no goodbye\nDon't break\n\n[Verse 2]\nOh, take me to your best friend's house\nMarmalade, we're making out, oh yeah\nOh, take me to your best friend's house\nI loved you then and I love you now\n\n[Chorus]\nDon't take me tongue-tied\nDon't wave no goodbye\nDon't break\n\n[Bridge]\nOne, two, three, four\nDon't leave me tongue-tied\nLet's stay up all night\nI'll get real high\nSlumber party, pillow fight\nMy eyes on your eyes\nLike Peter Pan up in the sky\nMy best friend's house tonight\nLet's bump the beats 'til beddy-bye\n\n[Chorus]\nDon't take me tongue-tied\nDon't wave no goodbye\nDon't take me tongue-tied\nDon't kiss me goodnight\nDon't, oh\n\n[Verse 3]\nTake me to your best friend's house\nGoin' 'round this roundabout, oh yeah\nOh, take me to your best friend's house\nI loved you then and I love you now\n(All right, all right, all right)\n\n[Chorus]\nA-don't leave me tongue-tied (Don't leave me)\nDon't wave no goodbye (Don't wave bye)\nDon't leave me tongue-tied (Don't leave me)\nDon't\nDon't leave me tongue-tied (Don't leave me)\nDon't wave no goodbye (Don't wave bye)\nDon't leave me tongue-tied (Don't leave me)\nDon't\n\n[Outro]\nYeah, yeah, yeah, yeah\nYeah, yeah\nYeah, yeah, yeah, yeah""}"
Bleachers,Strange Desire,Rollercoaster,5L95vS64rG1YMIFm1hLjyZ,0.421,0.79,10,-6.227,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867,4,Energy,"{'title': 'Bleachers – Rollercoaster Lyrics', 'lyrics': ""[Verse 1]\nIt was summer when I saw your face\nLooked like a teenage runaway\nOh god, I never thought we'd take it that far\nSome killer queen you are\n\n[Pre-Chorus]\nNow I'm running and I can't stop anywhere I go\nI think about it every day and night, I can't let go\nMan, I'm never the same\nWe were shotgun lovers, I'm a shotgun running away\n\n[Chorus]\nSo come a little closer\nThere was something I can tell, yeah\nYou are such a rollercoaster\nAnd a killer queen you are\n\n[Post-Chorus]\nRollercoaster, I don't say no\nRollercoaster, when you don't say no\nAnd it's such a rollercoaster\nSome killer queen you are\n\n[Verse 2]\nWe took the bones out from the road\nThose endless nights that we traveled we stole\nYou let your clothes fall to the floor\nAnd lit a fire while I waited for more\n[Pre-Chorus]\nNow I'm running and I won't stop, I don't wanna go\nI think about it every day and night, I can't let go\nAnd hey, I'm never the same\nIt's a hundred miles an hour on a dirt road running away\n\n[Chorus]\nSo come a little closer\nThere was something I can tell, yeah\nYou are such a rollercoaster\nAnd a killer queen you are\n\n[Post-Chorus]\nRollercoaster, I don't say no\nRollercoaster, when you don't say no\nAnd it's such a rollercoaster\nSome killer queen you are\n\n[Bridge]\nCome a little closer\nI'm sure, come a little closer\n\n[Chorus]\nWhy don't you come a little closer\nThere was something I can tell, yeah\nYou are such a rollercoaster\nSome killer queen you are\n[Post-Chorus]\nRollercoaster, I don't say no\nRollercoaster, when you don't say no\nAnd it's such a rollercoaster\nSome killer queen you are\n\n[Outro]\nSo come a little closer\nThere was something I can tell, yeah\nYou are such a rollercoaster\nAnd a killer queen you are\nRollercoaster, I don't say no\nRollercoaster, when you don't say no\nAnd it's such a rollercoaster\nSome killer queen you are""}"
Saint Motel,My Type EP,Cold Cold Man,6RKGBcDtgzXx21zUjpeu6F,0.613,0.661,9,-4.984,0.0263,0.00652,0.0,0.0976,0.509,110.978,230773,4,Energy,"{'title': 'Saint Motel – Cold Cold Man Lyrics', 'lyrics': ""[Verse 1]\nOh my love\nI know I am a cold cold man\nQuite slow to pay you compliments\nOr public displayed affections\n\n[Pre-Chorus]\nBut baby don't you go overanalyze\nNo need to theorize\nI can put your doubts to rest\n\n[Chorus]\nYou're the only one worth seeing\nThe only place worth being\nThe only bed worth sleeping's the one right next to you\nYou're the only one worth seeing\nThe only place worth being\nThe only bed worth sleeping's the one right next to you\n\n[Verse 2]\nOh my love\nI know you're used to desperate men\nWho say the words that others said\nFor too long and for too often\n\n[Pre-Chorus]\nBut baby you can lay off a little bit\nNo need to smother it\nI can put your doubts to rest\n\n[Chorus]\nYou're the only one worth seeing\nThe only place worth being\nThe only bed worth sleeping's the one right next to you\nYou're the only one worth seeing\nThe only place worth being\nThe only bed worth sleeping's the one right next to you\n\n[Post-Chorus]\nWoah oh oh oh\nWoah oh oh oh oh oh oh\nWoah oh oh oh\nWoah oh oh oh oh oh oh, oh oh\n\n[Bridge]\nOh oh oh oh oh (Oh oh)\nOh oh oh oh oh (Oh oh)\nOh oh oh oh oh (Oh oh)\nOh oh oh oh oh\n\n[Chorus]\nYou're the only one worth seeing\nThe only place worth being\nThe only bed worth sleeping's the one right next to you\nYou're the only one worth seeing\nThe only place worth being\nThe only bed worth sleeping's the one right next to you\n\n[Post-Chorus]\nWoah oh oh oh\nWoah oh oh oh oh oh oh\nWoah oh oh oh\nWoah oh oh oh oh oh oh\nWoah oh oh oh\nWoah oh oh oh oh oh oh\nWoah oh oh oh\nWoah oh oh oh oh oh oh, oh oh\n\n[Outro]\nOh oh oh oh oh (Oh oh)\nOh oh oh oh oh (Oh oh)\nOh oh oh oh oh (Oh oh)\nOh oh oh oh oh (Woah oh)""}"
Young the Giant,Young The Giant (Special Edition),Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,0.534,0.721,11,-7.307,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,249520,3,Energy,"{'title': 'Young the Giant – Cough Syrup Lyrics', 'lyrics': ""[Verse 1]\nLife's too short to even care at all, whoa oh-oh\nI'm losing my mind, losing my mind, losing control\nThese fishes in the sea, they're staring at me\nWhoa oh-oh, oh, whoa-oh, oh\nA wet world aches for a beat of a drum, oh-whoa oh, oh\n\n[Chorus]\nIf I could find a way to see this straight\nI'd run away to some fortune that\nI should have found\nBy now\nI'm waiting for this cough syrup\nTo come down, come down\n\n[Verse 2]\nLife's too short to even care at all, oh-whoa, oh\nI'm coming up now, coming up now\nOut of the blue, oh-oh, oh-oh\nThese zombies in the park, they're looking for my heart\nOh-whoa, oh, whoa-oh, oh\nA dark world aches for a splash of the sun\nOh-whoa oh, oh, oh\n\n[Chorus]\nIf I could find a way to see this straight\nI'd run away, to some fortune that\nI should have found\nBy now\nAnd so I run now to the things they said could restore me\nRestore life the way it should be\nI'm waiting for this cough syrup\nTo come down\n\n[Bridge]\nLife's too short to even care at all, oh, whoa-oh\nI'm losing my mind, losing my mind, losing control\n\n[Instrumental]\n\n[Chorus]\nIf I could find a way to see this straight\nI'd run away, to some fortune that\nI should have found\nBy now\nSo I run now to the things they said could restore me\nRestore life the way it should be\nI'm waiting for this cough syrup\nTo come down\n\n[Outro]\nOne more spoon of cough syrup now, oh, whoa-oh\nOne more spoon of cough syrup now, whoa, oh, whoa""}"
