artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Two Door Cinema Club,Tourist History,What You Know,3UjtIALeg72qmJiKPWBvM3,0.561,0.741,6,-4.239,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001,191707,4,Happy,"{'title': 'Two Door Cinema Club – What You Know Lyrics', 'lyrics': ""[Verse 1]\nIn a few weeks, I will get time\nTo realise it's right before my eyes\nAnd I can take it if it's what I want to do\nI am leaving and this is starting\nTo feel like it's right before my eyes\nAnd I can taste it, it's my sweet beginning\n\n[Chorus]\nAnd I can tell just what you want\nYou don't want to be alone\nYou don't want to be alone\nAnd I can't say it's what you know\nBut you've known it the whole time\nYeah, you've known it the whole time\n\n[Verse 2]\nMaybe next year, I'll have no time\nTo think about the questions to address\nAm I the one to try to stop the fire?\nI wouldn't test you, I'm not the best you\nCould have obtained, why try anything?\nI will get there; just remember, I know\n\n[Chorus]\nAnd I can tell just what you want\nYou don't want to be alone\nYou don't want to be alone\nAnd I can't say it's what you know\nBut you've known it the whole time\nYeah, you've known it the whole time\n[Chorus]\nAnd I can tell just what you want\nYou don't want to be alone\nYou don't want to be alone\nAnd I can't say it's what you know\nBut you've known it the whole time\nYeah, you've known it the whole time""}"
Foster The People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,Happy,"{'title': 'Foster the People – Pumped Up Kicks Lyrics', 'lyrics': '[Verse 1]\nRobert\'s got a quick hand\nHe\'ll look around the room, he won\'t tell you his plan\nHe\'s got a rolled cigarette\nHanging out his mouth, he\'s a cowboy kid\nYeah, he found a six-shooter gun\nIn his dad\'s closet with a box of fun things\nI don\'t even know what\nBut he\'s coming for you, yeah, he\'s coming for you, wait\n\n[Chorus]\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet\n\n[Verse 2]\nDaddy works a long day\nHe be coming home late, and he\'s coming home late\nAnd he\'s bringing me a surprise\n\'Cause dinner\'s in the kitchen and it\'s packed in ice\nI\'ve waited for a long time\nYeah, the sleight of my hand is now a quick-pull trigger\nI reason with my cigarette\nAnd say, ""Your hair\'s on fire, you must\'ve lost your wits,"" yeah\n[Chorus]\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet\n\n[Bridge]\nRun, run, run, run\nRu-ru-ru-run, run, run\nRu-ru-ru-ru-run, run, run, run\nRu-ru-ru-run\nRun, run, ru-run, run\n\n[Chorus]\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet\nAll the other kids with the pumped up kicks\nYou better run, better run, outrun my gun\nAll the other kids with the pumped up kicks\nYou better run, better run faster than my bullet'}"
Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4,Happy,"{'title': 'Grouplove – Tongue Tied Lyrics', 'lyrics': ""[Intro]\nOh!\n\n[Verse 1]\nOoh\nTake me to your best friend's house\nGoin' 'round this roundabout, oh yeah\nOh, take me to your best friend's house\nI loved you then and I love you now, oh yeah\n\n[Chorus]\nDon't take me tongue-tied\nDon't wave no goodbye\nDon't break\n\n[Verse 2]\nOh, take me to your best friend's house\nMarmalade, we're making out, oh yeah\nOh, take me to your best friend's house\nI loved you then and I love you now\n\n[Chorus]\nDon't take me tongue-tied\nDon't wave no goodbye\nDon't break\n[Bridge]\nOne, two, three, four\nDon't leave me tongue-tied\nLet's stay up all night\nI'll get real high\nSlumber party, pillow fight\nMy eyes on your eyes\nLike Peter Pan up in the sky\nMy best friend's house tonight\nLet's bump the beats 'til beddy-bye\n\n[Chorus]\nDon't take me tongue-tied\nDon't wave no goodbye\nDon't take me tongue-tied\nDon't kiss me goodnight\nDon't, oh\n\n[Verse 3]\nTake me to your best friend's house\nGoin' 'round this roundabout, oh yeah\nOh, take me to your best friend's house\nI loved you then and I love you now\n(All right, all right, all right)\n\n[Chorus]\nA-don't leave me tongue-tied (Don't leave me)\nDon't wave no goodbye (Don't wave bye)\nDon't leave me tongue-tied (Don't leave me)\nDon't\nDon't leave me tongue-tied (Don't leave me)\nDon't wave no goodbye (Don't wave bye)\nDon't leave me tongue-tied (Don't leave me)\nDon't\n[Outro]\nYeah, yeah, yeah, yeah\nYeah, yeah\nYeah, yeah, yeah, yeah""}"
Phoenix,Wolfgang Amadeus Phoenix,1901,3FM33HqRlV7J1QJoPOnd2u,0.591,0.831,0,-5.647,0.0415,0.0605,4.67e-05,0.19,0.705,144.084,193107,4,Happy,"{'title': 'Phoenix – 1901 Lyrics', 'lyrics': '[Verse 1]\nCounting all different ideas drifting away\nPast and present, they don\'t matter, now the future\'s sorted out\nWatch her moving in elliptical patterns\nThink it\'s not what you say, what you say is way too complicated\nFor a minute, thought I couldn\'t tell how to fall out\n\n[Chorus]\nIt\'s twenty seconds \'til the last call\nYou\'re going, ""Hey, hey, hey, hey, hey, hey""\nLie down, you know it\'s easy\nLike we did it over summer long\nAnd I\'ll be anything you ask and more\nGoing, ""Hey, hey, hey, hey, hey, hey, hey""\nIt\'s not a miracle we needed\nAnd no, I wouldn\'t let you think so\nFold it, fold it, fold it, fold it\n\n[Verse 2]\nGirlfriend, oh, your girlfriend is drifting away\nPast and present, 1855-1901\nWatch them built up a material tower\nThink it\'s not going to stay anyway, think it\'s overrated\nFor a minute, thought I couldn\'t tell how to fall out\n\n[Chorus]\nIt\'s twenty seconds \'til the last call\nYou\'re going, ""Hey, hey, hey, hey, hey, hey""\nLie down, you know it\'s easy\nLike we did it over summer long\nAnd I\'ll be anything you ask and more\nGoing, ""Hey, hey, hey, hey, hey, hey, hey""\nIt\'s not a miracle we needed\nNo, I wouldn\'t let you think so\nFold it, fold it, fold it, fold it\n[Outro]\nFold it, fold it, fold it, fold it\nFold it, fold it, fold it, fold it\nFold it, fold it, fold it, fold it'}"
Paramore,After Laughter,Hard Times,0w5Bdu51Ka25Pf3hojsKHh,0.695,0.818,5,-5.379,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693,4,Happy,"{'title': 'Paramore – Hard Times Lyrics', 'lyrics': ""[Verse 1]\nAll that I want\nIs to wake up fine\nTell me that I'm all right\nThat I ain't gonna die\nAll that I want\nIs a hole in the ground\nYou can tell me when it's alright\nFor me to come out\n\n[Chorus]\n(Hard times) Gonna make you wonder why you even try\n(Hard times) Gonna take you down and laugh when you cry\n(These lives) And I still don't know how I even survive\n(Hard times)\n(Hard times)\nAnd I gotta get to rock bottom (Oof)\n\n[Verse 2]\nWalking around\nWith my little rain cloud\nHanging over my head\nAnd it ain't coming down\nWhere do I go?\nGimme some sort of sign\nYou hit me with lightning!\nMaybe I'll come alive\n[Chorus]\n(Hard times) Gonna make you wonder why you even try\n(Hard times) Gonna take you down and laugh when you cry\n(These lives) And I still don't know how I even survive\n(Hard times)\n(Hard times)\nAnd I gotta hit rock bottom (Oof)\n\n[Bridge]\nTell my friends I'm coming down\nWe'll kick it when I hit the ground\nTell my friends I'm coming down\nWe'll kick it when I hit the ground\nWhen I hit the ground\nWhen I hit the ground\nWhen I hit the ground\nWhen I hit the ground\n\n[Chorus]\n(Hard times) Gonna make you wonder why you even try\n(Hard times) Gonna take you down and laugh when you cry\n(These lives) And I still don't know how I even survive\n(Hard times) Hard times\n(Hard times) Hard times\n(Hard times) Gonna make you wonder why you even try\n(Hard times) Gonna take you down and laugh when you cry\n(These lives) And I still don't know how I even survive\n(Hard times) Hard times\n(Hard times)\n[Outro]\nHard times\nMakes you wonder why you even try\nMakes you wonder why you even try\nMakes you wonder why you even try\nMakes you wonder\nHard times\nStill don't know how I even survive\nStill don't know how I even survive\nStill don't know how I even survive\nStill don't know how\nI survive\nAnd I gotta get to rock bottom (Oof)""}"
MGMT,Oracular Spectacular,Kids,1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4,Happy,"{'title': 'MGMT – Kids Lyrics', 'lyrics': ""[Intro]\nFive, four, three, two, one, ah\n\n[Verse 1]\nYou were a child crawling on your knees toward it\nMaking mama so proud, but your voice is too loud\nWe like to watch you laughing\nYou pick the insects off plants, no time to think of consequences\n\n[Chorus]\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\n\n[Verse 2]\nThe water is warm, but it's sending me shivers\nA baby is born crying out for attention\nThe memories fade like looking through a fogged mirror\nDecision to decisions are made and not bought\nBut I thought this wouldn't hurt a lot, I guess not\n\n[Chorus]\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\n[Instrumental Break]\n\n[Chorus]\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\nControl yourself, take only what you need from it\nA family of trees wanted to be haunted\nControl yourself, take only what you need from it\nA family of trees""}"
MGMT,Oracular Spectacular,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3,Happy,"{'title': 'MGMT – Electric Feel Lyrics', 'lyrics': '[Verse 1]\nAll along the Western front\nPeople line up to receive\nShe got the power in her hand\nTo shock you like you won\'t believe\nSaw her in the Amazon\nWith the voltage running through her skin\nI was standing there with nothing on\nShe gonna teach me how to swim\n\n[Chorus]\nI said, ""Ooh, girl!\nShock me like an electric eel\nBaby girl\nTurn me on with your electric feel""\nI said, ""Ooh, girl!\nShock me like an electric eel\nBaby girl\nTurn me on with your electric feel""\n\n[Verse 2]\nAll along the Eastern shore\nPut your circuits in the sea\nThis is what the world is for\nMaking electricity\nYou can feel it in your mind\nOh, you can do it all the time\nPlug it in, change the world\nYou are my electric girl\n[Chorus]\nI said, ""Ooh, girl!\nShock me like an electric eel\nBaby girl\nTurn me on with your electric feel""\nI said, ""Ooh, girl!\nShock me like an electric eel\nBaby girl\nTurn me on with your electric feel""\n\n[Outro]\nDo what you feel now!\nElectric feel now\nDo what you feel now!\nElectric feel now\nDo what you feel now!\nElectric feel now\nDo what you feel now!\nElectric feel now\nDo what you feel now!'}"
The Mowgli's,Waiting For The Dawn,"Say It, Just Say It",09Mnt7j5YzNgMU7fPS1W25,0.517,0.804,6,-5.101,0.0572,0.0656,0.0,0.157,0.61,157.974,200080,4,Happy,"{'title': ""The Mowgli's – Say It, Just Say It Lyrics"", 'lyrics': ""Yeah, I will take your side\nYou make me feel like I've been waiting my whole life\nAnd I could die\nTo find that simple kind of love you can't deny\nJust say it\n\nI wanna believe in your love again\nDespite what anybody says\n'Cause it ain't enough to mean it\nWhen you feel it once\nAnd you know it\nSo just say it\n\nAnd you were sitting in the back of the car\nJust sucking on your cigarette\nBut your eyes, they sold you out again\nThey always do, so say it\nJust say it\nOr at least kiss me just to shut me up\n\nI will take your side\nYou make me feel like I've been waiting my whole life\nAnd I could die\nTo find that simple kind of love you can't deny\nJust say it\nBeen talking about it until I killed my voice\nBut it didn't change a single thing\nIt's that simple truth\nThat always means the most to you\nAnd you know it\nSo just say it\n\nAnd we were spilling wine on your best friend’s bed\nWhen you said this was ridiculous\nAnd you kissed me just because\nYou knew it'd shut me up\nAll right, woman, say it\nJust say it\n\nI will take your side\nYou make me feel like I've been waiting my whole life\nAnd I could die\nTo find that simple kind of love you can't deny\nJust say it\n\nSay it like you mean it\nSay it like you mean it\nBaby, won't you stay awhile?\nSay it like you mean it\nSay it like you mean it\nI'm begging you, baby, won't you stay awhile?\nYeah, I will take your side\nYou make me feel like I've been waiting\nFeel like I've been\n\nYeah, I will take your side\nYou make me feel like I've been waiting my whole life\n\nI will take your side\nYou make me feel like I've been waiting my whole life\nAnd I could die\nTo find that simple kind of love you can't deny\n\nAnd I could die\nTo find that simple kind of love you can't deny\nJust say it""}"
PUBLIC,Let's Remake It,Pretty Face,7C6gFnRNxJ2iFE6NjKSgYc,0.538,0.89,11,-3.193,0.0489,0.00235,0.0,0.354,0.628,143.022,230787,4,Happy,"{'title': 'PUBLIC – Pretty Face Lyrics', 'lyrics': ""[Verse 1]\nSuch a pretty face\nYou see her walking around\nIn the middle of the night\nIn her wedding gown\nSays that she can do it but\nIs she trying?\n\n[Verse 2]\nBeautiful girl\nHasn't grown up yet\nAnd she's wasting all her feelings on\nA boy she's never met\nSays that she is happy but\nIs she lying?\n\n[Pre-Chorus]\nRunning and she's running again\nShe's trying to understand but she can't\nRunning and she's running again\nShe's crying by herself 'cause she can\n\n[Chorus]\nDo you know her?\nThe girl that looks to you\nAnd would you love her\nThe way that she loved you?\n\n[Verse 3]\nSuch a pretty face\nYou see her walking around\nIt's the middle of the night\nAnd nobody makes a sound\nSays that she can do it but\nIs she lying?\n\n[Pre-Chorus]\nRunning and she's running again\nShe's trying to understand but she can't\nRunning and she's running again\nShe's crying by herself 'cause she can\n\n[Chorus]\nDo you know her?\nThe girl that looks to you\nAnd would you love her?\nThe way that she loved you\n\n[Post-Chorus]\nAnd would you be there?\nTo help her push on through\nAnd would you know her?\nIf she didn't know you\n\n[Bridge]\nAre we eno-ough?\nDo we measure up?\nAre we enough?\nDo we measure up?\n\n[Verse 4]\nSuch a pretty face\nYou see her walking around\nOh she's such a pretty face\n\n[Chorus]\nDo you know her?\nThe girl that looks to you\nAnd would you love her\nThe way that she loved you?\nAnd would you be there?\nTo help her push on through\nAnd would you know her?\nIf she didn't know you\n\n[Outro]\nWo-o-oah\nWo-o-o-o-oah\nWo-o-oah\nWo-o-o-o-o-o-o-oah""}"
Fitz and The Tantrums,More Than Just a Dream,Out of My League,2Z5wXgysowvzl0nKGNGU0t,0.545,0.968,9,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386,4,Happy,"{'title': 'Fitz and The Tantrums – Out of My League Lyrics', 'lyrics': ""[Intro]\nMore than just a dream\nMore than just a dream\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\n\n[Verse 1]\nForty days and forty nights\nI waited for a girl like you\nTo come and save my life\nAll the days I waited for you\nYou know the ones who said\nI'd never find someone like you\n\n[Chorus]\n'Cause you were out of my league\nAll the things I believe\nYou were just the right kind\nYeah, you are more than just a dream\nYou were out of my league\nGot my heartbeat racing\nIf I die don't wake me\n'Cause you are more than just a dream\n\n[Bridge]\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\n\n[Verse 2]\nFrom time to time I pinch myself\nBecause I think my girl\nMistakes me for somebody else\nAnd every time she takes my hand\nAll the wonders that remain\nBecome a simple fact\n\n[Chorus]\n'Cause you were out of my league\nAll the things I believe\nYou were just the right kind\nYeah, you are more than just a dream\nYou were out of my league\nGot my heartbeat racing\nIf I die don't wake me\n'Cause you are more than just a dream\n\n[Bridge]\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\n\n[Chorus]\n'Cause you were out of my league\nAll the things I believe\nYou were just the right kind\nYeah, you are more than just a dream\nYou were out of my league\nGot my heartbeat racing\nIf I die don't wake me\n'Cause you are more than just a dream\n\n[Outro]\nMore than, more than, more\nMore than, more than, more\nMore than, more than\nMore than just a dream\nMore than, more than, more\nMore than, more than, more\nMore than, more than\nMore than just a dream\nMore than, more than, more\nMore than, more than, more\nMore than, more than\nMore than just a dream\nMore than, more than, more\nMore than, more than, more\nMore than, more than\nMore than just a dream\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh\nOoh-ooh-ooh-ooh-ooh-ooh-ooh""}"
