artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Tones And I,Fly Away,Fly Away,5ri4zqtWhG07hIuNNDWP76,0.806,0.513,4,-6.208,0.0685,0.217,0.0,0.217,0.503,124.988,178157,4,Happy,"{'title': 'Tones and I – Fly Away Lyrics', 'lyrics': ""[Intro]\nI had a dream that someday\nI would just fly, fly away\nAnd I always knew I couldn't stay\nSo I had a dream that I'd just fly away\n\n[Verse 1]\nI've been on my own for a minute\nIs it only me out here?\nSearching for the place to begin it\nIs it me? Is it you? Is it fear?\nStanding on the line I was given\nPeople staring at me while I'm here\nNo one seems to think that I fit in\nBut I don't wanna be like them\n\n[Pre-Chorus]\nNo, 'cause I don't wanna be like them\n'Cause I know that I, know that I\n\n[Chorus]\nI had a dream that someday\nI would just fly, fly away\nAnd I always knew I couldn't stay\nSo I had a dream that I'd just fly away, away, oh\n(Fly away, fly away)\nWoah, woah, I'd fly away\n[Verse 2]\nNo one knew how low I was feeling\nI was scared to reach for it all\nKnowing I was herе for a reason\nBut I was scared that if I tried, I'd fall\nSo whеre do I go now that I'm in it?\nI never thought it'd be like this\nDreaming all my life and I did it\nThought the grass is greener than it is\n\n[Chorus]\n'Cause I had a dream that someday\nI would just fly, fly away\nAnd I always knew I couldn't stay\nSo I had a dream that I'd just fly away, away, oh\nWoah, oh (Fly away, fly away)\nOh, I'd fly away, woah, woah, oh (Fly away, fly away)\nI'd fly away\n\n[Bridge]\n'Cause  I had a dream that someday\nI would just fly, fly away\nAnd I always knew I couldn't stay\nSo I had a dream that I'd just fly away, away, oh\n\n[Chorus]\nWoah, woah\n(Fly away, fly away)\n(Fly away, fly away)\nWoah, woah, woah\n(Fly away, fly away)\n(Fly away)\nI'd fly away""}"
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,0.102,0.216,0.0,0.0608,0.479,124.111,183726,4,Happy,"{'title': 'Galantis, David Guetta & Little Mix – Heartbreak A', 'lyrics': ""[Verse 1: Jade]\nHello, it's me your ex\nI called to say not sorry, but I wish you the best\nAnd I don't hold no grudges, promise this ain't a test\nWe okay, we okay\n\n[Pre-Chorus: Leigh-Anne]\nSometimes it works out but sometimes it don't\nMaybe we'll fix this or maybe we won't\nSometimes a heart can sink like a stone\nUntil you find home\n\n[Chorus: Perrie & All]\nThis ain't a heartbreak anthem\nI don't care what happened\nBut I ain't got no time to dwell on it\nDon't wanna throw a tantrum\nYou did what you had to\nNo, I ain't got no time to dwell on it\nAnd I don't wanna feel, I don't wanna feel hollow\nChasin' you and me, chasin' all of these shadows\nThis ain't a heartbreak anthem\nI don't care what happened\nBut I ain't got no time to dwell on it\n\n[Post-Chorus: All, Perrie]\nThis ain't a heartbreak anthem (Ooh)\nThis ain't a heartbreak, this ain't a heartbreak\nThis ain't a heartbreak anthem\nA heartbreak anthem, a heartbreak anthem\n(Ain't a heartbreak)\n\n[Verse 2: Jade]\nHello, it's me your ex\nI didn't wanna call but there's this pain in my chest\nAnd thanks to you I'm wearing out this bulletproof vest\nBut I'll be okay (Okay), I'm okay (I'm okay)\n\n[Pre-Chorus: Leigh-Anne]\nSometimes it works out but sometimes it don't\nMaybe we'll fix this or maybe we won't\nSometimes a heart can sink like a stone\nUntil you find home\n\n[Chorus: Perrie, Leigh-Anne, All, Perrie & Leigh-Anne]\nThis ain't a heartbreak anthem (No)\nI don't care what happened\nBut I ain't got no time to dwell on it (Time to dwell on it, oh)\nDon't wanna throw a tantrum\nYou did what you had to\nNo, I ain't got no time to dwell on it\nAnd I don't wanna feel, I don't wanna feel hollow\nChasin' you and me, chasin' all of these shadows\nThis ain't a heartbreak anthem\nI don't care what happened\nBut I ain't got no time to dwell on it\n\n[Post-Chorus: All, Perrie]\nThis ain't a heartbreak anthem (Ooh)\nThis ain't a heartbreak, this ain't a heartbreak\nThis ain't a heartbreak anthem\nA heartbreak anthem, a heartbreak anthem\n(Ain't a heartbreak)\n\n[Outro: All]\nAnd I don't wanna feel, I don't wanna feel hollow\nChasin' you and me, chasin' all of these shadows\nThis ain't a heartbreak anthem\nI don't care what happened\nBut I ain't got no time to dwell on it""}"
Shawn Mendes,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4,Happy,"{'title': 'Shawn Mendes & Tainy – Summer of Love Lyrics', 'lyrics': ""[Verse 1]\nKisses on your body were like heaven\nWe were taking it slow\nTangled in the sheets until the evening\nThere was nowhere to go, yeah\nWe were in a daze, learning each other's shapes\nTracing shadows of rain down your back, oh\nKisses on your body in my memory, baby, nothing comes close\n\n[Chorus]\nIt was the summer of love\nA delicate daydream\nAnd for a couple of months\nIt felt like we were eighteen, yeah\nIt was the summer of\n\n[Post-Chorus]\nLa-la-love\nLa-la-love, yeah\nIt was the summer of\nLa-la-love\nLa-la-love\n\n[Verse 2]\nMeditation and tequila\nCalling you my señorita\nDidn't know how much I need ya\nHate it when I have to leave ya\nI've been taking mental pictures\nFor when I miss you in the winter\nStaying up until the sunrise\nPraying it won't be the last time\n\n[Chorus]\nIt was the summer of love\nA delicate daydream\nAnd for a couple of months\nIt felt like we were eighteen, yeah\nIt was the summer of\n\n[Post-Chorus]\nLa-la-love\nLa-la-love, yeah\nIt was the summer of\nLa-la-love\nLa-la-love\n\n[Bridge]\nKisses on your body were like heaven\nWe were taking it slow, yeah\nEntangled in the sheets until the evening\nThere was nowhere to go, no\n\n[Chorus]\nIt was the summer of love (You were my summer of love)\nA delicate daydream (A delicate daydream)\nAnd for a couple of months (And for a couple of months)\nIt felt like we were eighteen, yeah\nIt was the summer of\n\n[Post-Chorus]\nLa-la-love\nLa-la-love, yeah\nIt was the summer of\nLa-la-love\nLa-la-love\nIt was the summer of\nLa-la-love\nLa-la-love, yeah\nIt was the summer of\nLa-la-love\nLa-la-love, yeah\nIt was the summer of""}"
Justin Bieber,Anyone,Anyone,31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4,Happy,"{'title': 'Justin Bieber – Anyone Lyrics', 'lyrics': ""[Verse 1]\nDance with me under the diamonds\nSee me like breath in the cold\nSleep with me here\u2005in\u2005the silence\nCome kiss\u2005me, silver and gold\n\n[Pre-Chorus]\nYou say that\u2005I won't lose you, but you can't predict the future\nSo just hold on like you will never let go\nYeah, if you ever move on without me\nI need to make sure you know that\n\n[Chorus]\nYou are the only one I'll ever love (I gotta tell ya, gotta tell ya)\nYeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)\nLookin' back on my life, you're the only good I've ever done (Ever done)\nYeah, you, if it's not you, it's not anyone (Anyone), not anyone\n\n[Verse 2]\nForever's not enough time to (Oh)\nLove you the way that I want (Love you the way that I want)\n'Cause every mornin', I'll find you (Oh)\nI fear the day that I don't\n\n[Pre-Chorus]\nYou say that I won't lose you, but you can't predict the future\n'Cause certain things are out of our control\nYeah, if you ever move on without me\nI need to make sure you know that\n\n[Chorus]\nYou are the only one I'll ever love (Only one, I gotta tell ya, gotta tell ya)\nYeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)\nLookin' back on my life, you're the only good I've ever done (I've ever done)\nYeah, you, if it's not you, it's not anyone (It's not anyone, not anyone)\n\n[Bridge]\nOh-oh-oh-oh\nIf it's not you, it's not anyone\nOh-oh-oh, yeah, woah\n\n[Chorus]\nYeah, you are the only one I'll ever love (I gotta tell ya, gotta tell ya, yeah, oh-oh-oh-oh)\nYeah, you, if it's not you, it's not anyone (I gotta tell ya, gotta tell ya)\nLookin' back on my life, you're the only good I've ever done (Ever done, oh, yeah)\nYeah, you, if it's not you, it's not anyone""}"
OneRepublic,Run,Run,2UbVnbE5FH6008mAm6Mmgw,0.682,0.72,11,-8.173,0.0381,0.326,0.0,0.148,0.673,117.003,169011,4,Happy,"{'title': 'OneRepublic – Run Lyrics', 'lyrics': '[Verse 1]\nWhen I was a young boy living in the city\nAll I did was run, run, run, run, run\nStaring at the lights, they look so pretty\nMomma said ""Son, son, son, son, son\nYou\'re gonna grow up, you\'re gonna get old\nAll that glitters don\'t turn to gold\nBut until then just have your fun\nBoy, run, run, run, run, run""\n\n[Refrain]\nYeah, run, run, run\nRun, run, run\n\n[Verse 2]\nWhen I was a young kid living in the city\nAll I did was pay, pay, pay, pay, pay\nAnd every single dime that good Lord gave me\nI could make it last three, four, five days\nLiving it up but living down low\nChasing that luck before I get old\nAnd looking back, oh, we had some fun\nBoy, run, run, run, run, run\n\n[Chorus]\nThey tell you that the sky might fall\nThey\'ll say that you might lose it all\nSo I run until I hit that wall\nYeah, I learned my lesson, count my blessings\nLook to the rising sun and run, run, run\nYeah, one day well the sky might fall\nYеah, one day I could lose it all\nSo I run until I hit that wall\nIf I learnеd one lesson, count your blessings\nLook to the rising sun and run, run, run\n[Refrain]\nRun, run, run\n\n[Verse 3]\nDidn\'t get everything that I wanted\nBut I got what I need, yeah, yeah\nI see that light in the morning\nShining down on me\nSo take me up high, take me down low\nWhere it all ends nobody knows\nBut until then let\'s have some fun\nYeah, run, run, run, run, run\n\n[Chorus]\nThey tell you that the sky might fall\nThey\'ll say that you might lose it all\nSo I run until I hit that wall\nYeah, I learned my lesson, count my blessings\nLook to the rising sun and run, run, run\nYeah, one day well the sky might fall\nYeah, one day I could lose it all\nSo I run until I hit that wall\nIf I learned one lesson, count your blessings\nLook to the rising sun and run, run, run\n\n[Refrain]\nRun, run, run\nYeah, run, run, run\n[Outro]\nYeah, I learned my lesson, count my blessings\nLook to the rising sun\nYeah, I learned my lesson, count my blessings\nLook to the rising sun\nYeah, if I learned one lesson, count your blessings\nLook to the rising sun, yeah, run, run, run'}"
Ed Sheeran,Shivers,Shivers,6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,2,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4,Happy,"{'title': 'Ed Sheeran – Shivers Lyrics', 'lyrics': '[Verse 1]\nI took an arrow to the heart\nI never kissed a mouth that tastes like yours\nStrawberries and a somethin\' more\nOoh, yeah, I want it all\nLipstick on my guitar\nFill up the engine, we can drive real far\nGo dancin\' underneath the stars\nOoh, yeah, I want it all\nMmm, you got me feelin\' like\n\n[Pre-Chorus]\nI wanna be that guy, I wanna kiss your eyes\nI wanna drink that smile, I wanna feel like I\'m\nLike my soul\'s on fire, I wanna stay up all day and all night\nYeah, you got me singin\' like\n\n[Chorus]\nOoh, I love it when you do it like that\nAnd when you\'re close up, give me thе shivers\nOh, baby, you wanna dance \'til the sunlight cracks\nAnd whеn they say the party\'s over, then we\'ll bring it right back\nAnd we\'ll say, ""Ooh, I love it when you do it like that""\nAnd when you\'re close up, give me the shivers\nOh, baby, you wanna dance \'til the sunlight cracks\nAnd when they say the party\'s over, then we\'ll bring it right back\n[Verse 2]\nInto the car\nOn the backseat in the moonlit dark\nWrap me up between your legs and arms\nOoh, I can\'t get enough\nYou know you could tear me apart\nPut me back together and take my heart\nI never thought that I could love this hard\nOoh, I can\'t get enough\nMmm, you got me feelin\' like\n\n[Pre-Chorus]\nI wanna be that guy, I wanna kiss your eyes\nI wanna drink that smile, I wanna feel like I\'m\nLike my soul\'s on fire, I wanna stay up all day and all night\nYeah, you got me singin\' like\n\n[Chorus]\nOoh, I love it when you do it like that\nAnd when you\'re close up, give me the shivers\nOh, baby, you wanna dance \'til the sunlight cracks\nAnd when they say the party\'s over, then we\'ll bring it right back\nAnd we\'ll say, ""Ooh, I love it when you do it like that""\nAnd when you\'re close up, give me the shivers\nOh, baby, you wanna dance \'til the sunlight cracks\nAnd when they say the party\'s over, then we\'ll bring it right back\n[Bridge]\nBaby, you burn so hot, you make me shiver\nWith the fire you got, this thing we started\nI don\'t want it to stop\nYou know you make me shiver\nBaby, you burn so hot, you make me shiver\nWith the fire you got, this thing we started\nI don\'t want it to stop\nYou know you make me shiver\nYeah, you got me singin\' like\n\n[Chorus]\nOoh, I love it when you do it like that\nAnd when you\'re close up, give me the shivers\nOh, baby, you wanna dance \'til the sunlight cracks\nAnd when they say the party\'s over, then we\'ll bring it right back (Oh, no)\nAnd we\'ll say, ""Ooh, I love it when you do it like that""\nAnd when you\'re close up, give me the shivers\nOh, baby, you wanna dance \'til the sunlight cracks\nAnd when they say the party\'s over, then we\'ll bring it right back, hey'}"
Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,0.0478,0.197,0.0,0.0943,0.483,125.983,218359,4,Happy,"{'title': 'Sigala & James Arthur – Lasting Lover Lyrics', 'lyrics': '[Verse 1]\nI don\'t know why I can\'t quite\nGet you out my sight\nYou\'re always just behind\nYou\'re stored across my mind\nKeep crawling back to where we last\nLeft our love on hold\nI\'m always out for more\nSo what you waiting for?\n\n[Pre-Chorus]\nWait, before you burn me to the ground\nPlease stay till the beat of our heart runs out\n\n[Chorus]\nI don\'t wanna let go, let go\n\'Cause I\'ve been tryna hold on for so long\nI feel like I\'m lost without a trace\nTake my heart and run away\nShe said, ""I\'ve been looking for a lasting lover""\nSave me, save me\nFrom every single heartache, heartache\nI feel like I\'m lost without a trace\nTake my heart and run away\nShe said, ""I\'ve been looking for a lasting lover""\n\n[Post-Chorus]\nShe said, ""I\'ve been looking for a lasting lover""\n\n[Verse 2]\nOne by one and two by twice\nI\'ve watched all my loves\nMove on to something more\nOpen out the door\n\n[Pre-Chorus]\nCaught in-between every passing hour\nOh, please stay until the taste of your love turns sour\n\n[Chorus]\nI don\'t wanna let go, let go\n\'Cause I\'ve been tryna hold on for so long\nI feel like I\'m lost without a trace\nTake my heart and run away\nShe said, ""I\'ve been looking for a lasting lover""\nSave me, save me\nFrom every single heartache, heartache\nI feel like I\'m lost without a trace\nTake my heart and run away\nShe said, ""I\'ve been looking for a lover""\n\n[Bridge]\nSo let me know, did we ever mean anything at all?\nSo let me know, did we ever mean anything at all?\n\n[Chorus]\nI feel like I\'m lost without a trace\nTake my heart and run away\nShe said, ""didn\'t hurt me""\nOoh, I feel like I\'m lost without a trace\nTake my heart and run away\nShe said, ""I\'ve been looking for a lasting lover""\n\n[Outro]\nI\'ve been looking for a lasting lover\nOh, I\'ve been looking for a lasting lover'}"
Sam Feldt,The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),140XpWSdJ0jZEbLj9iVnPA,0.667,0.827,11,-5.631,0.0368,0.0863,0.0,0.0565,0.573,107.95,161944,4,Happy,"{'title': 'Sam Feldt & Karma Child – The Best Days Lyrics', 'lyrics': ""[Verse 1]\nI, I believe\nThat the answer is more simple than we make it out to be\nAnd you, you're just like me\nAlways end up in the places that we're not supposed to be\n\n[Pre-Chorus]\nOoh-ooh\nYeah, we got lost sometimes, I know\nBut always get where we need to go\nOoh-ooh\nYeah, we got lost sometimes, I know\n\n[Chorus]\nThey say the best days are yet to come but I know that ain't true\nWhen the world gets the worst of me I'm still my best with you\nWe don't stare into the ocean, we just dive into the blue\nThey say the best days are yet to come but I know that ain't true\n\n[Post-Chorus]\nOh love, we're livin' in it\nOh love, we're livin' in it\nI'm still my best with you\n\n[Verse 2]\nI, I believe\nWe can answers all our problems with a simple melody\nSo sing, sing to me\nSing a song for every moment what we had and what will be\n\n[Pre-Chorus]\nOoh-ooh\nYeah, we got lost sometimes, I know\nBut always get where we need to go\nOoh-ooh\nYeah, we got lost sometimes, I know\n\n[Chorus]\nThey say the best days are yet to come but I know that ain't true\nWhen the world gets the worst of me I'm still my best with you\nWe don't stare into the ocean, we just dive into the blue\nThey say the best days are yet to come but I know that ain't true\n\n[Post-Chorus]\nOh love, we're livin' in it\nOh love, we're livin' in it\nI'm still my best with you\n\n[Outro]\nOh love, we're livin' in it\nI'm still my best with you""}"
Martin Jensen,At Least I Had Fun,At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,0.794,0.706,5,-6.066,0.0382,0.198,0.0,0.0536,0.908,116.032,170614,4,Happy,"{'title': 'Martin Jensen & RANI – At Least I Had Fun Lyrics', 'lyrics': ""[Verse 1]\nStuck in a daydream in Paradise\nThat summer feeling, oh-oh-oh\nDon't need no reason, just livin' life\nNo\u2005time\u2005for sleepin'\n\n[Refrain]\nSo we\u2005broke some hearts and we danced\u2005on cars all night long\nWent to every bar, underneath the stars, one by one\nYou told me to grow up, but I can't just help myself\nMaybe I'm messed up and maybe I need some help\n\n[Pre-Chorus]\nYeah, I woke up with a headache and my memory's all gone\nAnd I spent all of my money on Martinis and rum\nNow I only got one dollar 'til the end of the month\nShould be sorry, but not sorry\n\n[Chorus]\nAt least I had fun\nOh, at least I had fun\nAt least I had fun\nAt least I had fun\nOh, oh, yeah\n\n[Verse 2]\nHad good intentions, guess it went wrong (Ooh)\nBut I ain't trippin', no-oh\n[Refrain]\nSo we broke some hearts and we danced on cars all night long\nWent to every bar, underneath the stars, one by one\nYou told me to grow up, but I can't just help myself\nMaybe I'm messed up and maybe I need some help\n\n[Pre-Chorus]\nYeah, I woke up with a headache and my memory's all gone\nAnd I spent all of my money on Martinis and rum\nNow I only got one dollar 'til the end of the month\nShould be sorry, but not sorry\n\n[Chorus]\nAt least I had fun\nOh, at least I had fun\nAt least I had fun\nAt least I had fun\n\n[Bridge]\nI woke up with a headache and my memory's all gone\nAnd I spent all of my money on Martinis and rum\nNow I only got one dollar 'til the end of the month\nShould be sorry, but not sorry\n\n[Chorus]\nAt least I had fun\nAt least I had fun (Oh)\nAt least I had fun\nAt least I had fun\nAt least I had fun""}"
Tones And I,Cloudy Day,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,0.705,0.776,4,-6.096,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,185304,4,Happy,"{'title': 'Tones and I – Cloudy Day Lyrics', 'lyrics': '[Verse 1]\nAm I living?\nOh, what a funny thing to say\nBut there\'s a life and then there’s living\nAm I living for today? Hmm\n\n[Pre-Chorus]\nAnd I\'m getting older\nWith every memory I make\nNow that I\'m older with these moments\nWill I live with them or just throw them away, away?\n\n[Chorus]\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day, on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day, on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day"" (On a cloudy day)\n\n[Verse 2]\nAnd am I wiser\nFor holding close the friends I make?\nBut if I’m wise, then why\'s this feeling\nOf a trial that I can\'t shake?\n\n[Pre-Chorus]\nAnd I\'m getting older\nWith every memory I make\nNow that I\'m older with thеse moments\nWill I live with thеm or just throw them away, away?\n\n[Chorus]\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day, on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day"" (On a cloudy day)\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day, on a cloudy day""\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day"" (Ooh, ooh)\nBut your mama always said, ""Look up into the sky\nFind the sun on a cloudy day"" (Day, day, day)\n\n[Outro]\nOh-oh-oh-oh\nOh-oh-oh-oh, oh-oh\nOn a cloudy day'}"
