artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Harry Styles,Fine Line,Falling,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,Sad,"{'title': 'Harry Styles – Falling Lyrics', 'lyrics': ""[Verse 1]\nI'm in my bed\nAnd you're not here\nAnd there's no one to blame but the drink\u2005in\u2005my wandering hands\nForget\u2005what I said\nIt's not what I\u2005meant\nAnd I can't take it back, I can't unpack the baggage you left\n\n[Chorus]\nWhat am I now? What am I now?\nWhat if I'm someone I don't want around?\nI'm falling again, I'm falling again, I'm fallin'\nWhat if I'm down? What if I'm out?\nWhat if I'm someone you won't talk about?\nI'm falling again, I'm falling again, I'm fallin'\n\n[Verse 2]\nYou said you cared, and you missed me too\nAnd I'm well aware I write too many songs about you\nAnd the coffee's out at the Beachwood Cafe\nAnd it kills me 'cause I know we've run out of things we can say\n\n[Chorus]\nWhat am I now? What am I now?\nWhat if I'm someone I don't want around?\nI'm falling again, I'm falling again, I'm fallin'\nWhat if I'm down? What if I'm out?\nWhat if I'm someone you won't talk about?\nI'm falling again, I'm falling again, I'm fallin'\n[Bridge]\nAnd I get the feeling that you'll never need me again\n\n[Chorus]\nWhat am I now? What am I now?\nWhat if you're someone I just want around?\nI'm falling again, I'm falling again, I'm fallin'\nWhat if I'm down? What if I'm out?\nWhat if I'm someone you won't talk about?\nI'm falling again, I'm falling again, I'm fallin'""}"
One Direction,FOUR (Deluxe),18,3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,Sad,"{'title': 'One Direction – 18 Lyrics', 'lyrics': ""[Verse 1: Harry]\nI got a heart and I got a soul\nBelieve me, I will use them both\nWe made a start, be it a false one I know\nBaby, I don't want to feel alone\n\n[Pre-Chorus: Zayn]\nSo kiss me where I lay down\nMy hands pressed to your cheeks\nA long way from the playground\n\n[Chorus: Harry]\nI have loved you since we were eighteen\nLong before we both thought the same thing\nTo be loved and to be in love\nAll I can do is say that these arms were made for holdin’ you, oh\nI wanna love like you made me feel\nWhen we were eighteen\n\n[Verse 2: Niall & Liam]\nWe took a chance, God knows we've tried\nYet all along, I knew we'd be fine\nSo pour me a drink, oh love\nLet's split the night wide open\nAnd we'll see everything we can\nLiving love in slow motion, motion, motion\n[Pre-Chorus: Zayn]\nSo kiss me where I lay down\nMy hands pressed to your cheeks\nA long way from the playground\n\n[Chorus: All & Niall]\nI have loved you since we were eighteen\nLong before we both thought the same thing\nTo be loved and to be in love\nAll I can do is say that these arms were made for holding you\nAnd I wanna love like you made me feel\nWhen we were eighteen\nWhen we were eighteen\nOh Lord, when we were eighteen\n\n[Bridge: Zayn & Louis & Harry]\nKiss me where I lay down\nMy hands pressed to your cheeks\nA long way from the playground\nI have loved you since we were eighteen\nLong before we both thought the same thing\nTo be loved and to be in love\n\n[Chorus: All & Harry]\nAnd all I can do is say that these arms were made for holding you\nAnd I wanna love like you made me feel\nWhen we were eighteen\nI wanna love like you made me feel\nWhen we were eighteen\nI wanna love like you made me feel\nWhen we were eighteen""}"
James Arthur,Back from the Edge,Train Wreck,55Am8neGJkdj2ADaM3aw5H,0.311,0.485,6,-5.726,0.0365,0.701,0.0,0.0726,0.225,77.355,208827,4,Sad,"{'title': 'James Arthur – Train Wreck Lyrics', 'lyrics': ""[Verse 1]\nLaying in the silence\nWaiting for the sirens\nSigns, any signs I'm alive still\nI don't wanna lose it\nBut I'm not getting through this\nHey, should I pray\nShould I pray, yeah, to myself\nTo a God? To a saviour who can\n\n[Chorus]\nUnbreak the broken\nUnsay these spoken words\nFind hope in the hopeless\nPull me out the train wreck\nUnburn the ashes\nUnchain the reactions now\nI'm not ready to die, not yet\nPull me out the train wreck\nPull me out, pull me out\nPull me out, pull me out\nPull me out\n\n[Verse 2]\nUnderneath our bad blood\nWe've still got a sad song\nHome, still a home, still a home here\nIt's not too late to build it back\n'Cause a one in a million chance\nIs still a chance, still a chance\nAnd I would take those odds\n\n[Chorus]\nUnbreak the broken\nUnsay these spoken words\nFind hope in the hopeless\nPull me out the train wreck\nUnburn the ashes\nUnchain the reactions now\nI'm not ready to die, not yet\nPull me out the train wreck\nPull me out, pull me out\nPull me out, pull me out\nPull me out, pull me out\n\n[Bridge]\nYou can say what you like\nDon't say I wouldn't die for it\nI'm down on my knees\nAnd I need you to be my guard\nBe my help, be a saviour\nWho can\n\n[Chorus]\nUnbreak the broken\nUnsay these reckless words (Find hope in the hopeless)\nPull me out the train wreck\nUnburn the ashes\nUnchain the reactions now\nI'm not ready to die, not yet\nPull me out the train wreck\nPull me out, pull me out\nPull me out, pull me out\nPull me out, pull me out""}"
Rosie Darling,Coping,Coping,0RjKWagIjeOoxpsiCT4gls,0.502,0.444,6,-7.294,0.116,0.613,0.0,0.103,0.196,157.604,190267,4,Sad,"{'title': 'Rosie Darling – Coping Lyrics', 'lyrics': ""[Verse 1]\nI'm not used to being with somebody with their shit together\nSaying sorry actually makes it better\nI did things to you I said I'd never\nI miss waiting for you in the lobby of your old apartment\nDrawing shapes with you into the carpet\nBack before the end had even started\n\n[Pre-Chorus]\nNow that you're gone\nIt's my fault\nI'm so lost\nI'm sorry, I'm sorry, I'm sorry\n\n[Chorus]\nSmoking cheap pre-rolls and listening to LANY\nHoping you don't hate me\nI know it's lame, but this is how I'm coping without\nInside jokes and places that you'd take me\nBet you probably blame me\nI know it's lame, but this is how I'm coping without you\n\n[Verse 2]\nI'm the best at getting disappointed by my expectations\nTry to read my mind, it's always racing\nDamn, I really love to test your patience\n\n[Pre-Chorus]\nNow that you're gone\nIt's my fault\nI'm so lost\nI'm sorry, I'm sorry, I'm sorry\n\n[Chorus]\nSmoking cheap pre-rolls and listening to LANY\nHoping you don't hate me\nI know it's lame, but this is how I'm coping without\nInside jokes and places that you'd take me\nBet you probably blame me\nI know it's lame, but this is how I'm coping without you\nWithout you\nWithout you\nWithout you (Without you)\n\n[Bridge]\nI'm the best at getting disappointed by my expectations\nTry to read my mind, it's always racing\nDamn, I really love to test your patience\n\n[Chorus]\nSmoking cheap pre-rolls and listening to LANY\nHoping you don't hate me\nI know it's lame, but this is how I'm coping without\nInside jokes and places that you'd take me\nBet you probably blame me\nI know it's lame, but this is how I'm coping without you\nWithout you\nWithout you""}"
Ruth B.,Safe Haven,If By Chance,21dpBHPTV7ythCHBI6Slcw,0.405,0.279,10,-8.099,0.0334,0.881,0.0,0.0933,0.256,119.85,303653,4,Sad,"{'title': 'Ruth B. – If By Chance Lyrics', 'lyrics': ""[Verse 1]\nI can't believe it's been all these years\nI can't believe I've cried all these tears\nMy friends tell me I should've moved on\nA long long time ago\nBut what do they know?\nWhat do they know?\n\n[Chorus]\nAnd I don't mean to be selfish\nBut my heart breaks every time\nThat I see you smile\n'Cause I know that it's not me\nWho brings it out of you anymore\nYou found somebody new\nYou put me in the past\nI don't even know if our memories will last\nBut if by chance it doesn't work out with her\nYou'll always have a chance with me in my world\n\n[Verse 2]\nI wonder what happens when you hear our song\nDo you brush it away or do you sing along?\nDo you talk about the future the way we did?\nIs there room for me in it?\nIs there room for me in it?\n\n[Chorus]\nAnd I don't mean to be selfish\nBut my heart breaks every time\nThat I see you smile\n'Cause I know that it's not me\nWho brings it out of you anymore\nYou found somebody new\nYou put me in the past\nI don't even know if our memories will last\nBut if by chance it doesn't work out with her\nYou'll always have a chance with me in my world\n\n[Bridge]\nIs it so wrong of me to hope she breaks your heart?\nIs it so wrong of me to pray she tears you apart?\nAnd I know that in the darkest part of you\nYou pray and hope and wish for it too\n\n[Chorus]\n'Cause you don't mean to be selfish\nBut your heart breaks every time\nThat you see me smile\n'Cause you know that it's not you\nWho brings it out of me anymore\nYou found somebody new\nYou put me in the past\nI don't even know if our memories will last\nBut if by chance it doesn't work out with her\nYou'll always have a chance with me in my world""}"
Sam Fischer,For Now,For Now,5wV2TAUTKHcKgaEB6XnWDI,0.731,0.233,1,-11.109,0.0376,0.89,0.0,0.3,0.408,108.008,211813,4,Sad,"{'title': 'Sam Fischer – For Now Lyrics', 'lyrics': ""[Verse 1]\nI know you feel bad about it\nBut please don't show up uninvited\n'Cause I still feel like I'm your person\nAnd it gets worse when you come around\n\n[Pre-Chorus]\n'Cause you never stopped, being all that I want\nBut I can't move on with you in my arms\nI know what I've said but I can't pretend\nLike we can be friends anymore\n\n[Chorus]\nI need to be lonely without you\nI know that you only mean well\nBut I'm not used to being without you\nHave to learn to be lonely myself\n'Cause all is said and all is done\nIt will be better for both of us\nIf you stopped tryna help\nAnd wе kept to ourselves\nFor now, for now\n\n[Verse 2]\nYou keep tryna makе it better\nBut we're not gettin' back together\nAnd after every conversation, my heart's breakin'\nAgain and again\n[Pre-Chorus]\nBecause you never stopped, being all that I want (Being all that I want)\nBut I can't move on, with you in my arms (With you in my arms)\nI know what I've said, but I can't pretend\nLike we can be friends anymore\n\n[Chorus]\nI need to be lonely without you\nI know that you only mean well\nBut I'm not used to being without you\nHave to learn to be lonely myself\n'Cause all is said and all is done\nIt will be better for both of us\nIf you stopped tryna help\nAnd we kept to ourselves\n\n[Bridge]\n'Cause you still feel like home\nIt's hard to let you go\n\n[Chorus]\nI need to be lonely without you\nI know that you only mean well (Hmm, hmm)\nBut I'm not used to being without you (No, oh-oh)\nHave to learn to be lonely myself\n'Cause all is said and all is done (Oh-oh-oh)\nIt will be better for both of us\nIf you stopped tryna help\nAnd we kept to ourselves (Hmm, hmm)\nFor now, for now""}"
SHY Martin,Slow,Slow,1Ia95g66IhlAJ3qVI4qI8W,0.636,0.243,2,-9.509,0.04,0.815,0.0,0.111,0.239,142.016,163547,4,Sad,"{'title': 'SHY Martin – Slow Lyrics', 'lyrics': '[Verse 1]\nI\'ve spent way too much time moving on\nTried a couple of therapists\nEven got rid of\u2005some\u2005stuff\nIt\'s like my\u2005mind got a mind of its\u2005own\n\'Cause I\'ve been busy getting over\nGetting over someone\n\n[Pre-Chorus]\nIt\'s not like my brain\'s not rushing\nEvery time you get too close\nIt\'s not like I can\'t imagine\nLosing myself in your arms\nIt\'s not like my skin isn\'t longing\nAfter the weight of your touch\nIt\'s what if I mess this up?\n\n[Chorus]\nSo just take it slow\n\'Cause I\'m scared to let go\nAnd my heart is struggling\nNot to get hurt again\nJust take it slow\n\n[Verse 2]\nSomeone left me with a broken heart\nThat I passed on to someone\nAnd broke a new one apart\nThings can be good enough\nStill not enough\nAnd that\'s why I\'m terrified\nHaving you by my side\n[Pre-Chorus]\nIt\'s not like my brain\'s not rushing\nEvery time you get too close\nIt\'s not like I can\'t imagine\nLosing myself in your arms\nIt\'s not like it ain\'t a habit\nThinking \'bout ""what if"" too much\nLike what if I mess this up?\n\n[Chorus]\nSo just take it slow\n\'Cause I\'m scared to let go\nAnd my heart is struggling\nNot to get hurt again\nJust take it slow\n\n[Outro]\nMmm\nMmm, mmm\nMmm, mmm\nMmm, mmm'}"
Emily Burns,Is It Just Me?,Is It Just Me? (feat. JP Cooper),754zNJgoWQaGETFzSYVlmC,0.478,0.339,4,-7.355,0.0544,0.688,0.0,0.104,0.288,145.441,203300,4,Sad,"{'title': 'Emily Burns & JP Cooper – Is It Just Me? Lyrics', 'lyrics': ""[Verse 1: Emily Burns]\nIt's been way too long for me to find it this hard\nSitting alone my fingers\u2005picking\u2005the sofa apart\nAn\u2005attempt to distract from the fact\u2005that I miss you\nI wonder if your friends have had to carry you home\nAnd stay for the night because\nThey don't want to leave you alone\nWay before it was fun, it's becoming an issue\n\n[Pre-Chorus: Emily Burns]\nI know it's cruel\nBut I kind of hope you're tortured too\n\n[Chorus: Emily Burns]\nTell me does your heart stop\nAt the party when my name drops\nLike you're stood at the platform\nWhen the trains cross\nAre you hurting? Yeah, you must be\nOr is it just me?\nTongue-tied, screaming on the inside\nWhen I say that we broke up and they ask why\nAre you crying in the shower like a freak?\nOr is it just me?\n\n[Verse 2: JP Cooper]\nIt's been three months and two days and five hours\nSince I walked away and we left it so sour, I know\nThat you're probably thinking you're better without me\nAnd all my days have turned cold but not as cold as your shoulder\nI've been thinking it over, while I drink myself sober again\nPlease understand\n[Pre-Chorus: JP Cooper, with Emily Burns]\nThat I know it's cruel\nBut I kind of hope you're tortured too\n\n[Chorus: JP Cooper & Emily Burns, Emily Burns]\nTell me does your heart stop\nAt the party when my name drops\nLike you're stood at the platform\nWhen the trains cross\nAre you hurting? Yeah, you must be\nOr is it just me?\nTongue-tied, screaming on the inside\nWhen I say that we broke up and they ask why\nAre you crying in the shower like a freak? (Hmm, hmm)\nOr is it just me?\n\n[Bridge: JP Cooper & Emily Burns]\n(Ah, ah, ah)\n'Cause this would be one whole lot easier (Ah, ah, ah)\nGod, I know that's selfish but it's true (Ah, ah, ah)\nIf underneath some calm exterior\nYou're all fucked up too\n\n[Chorus: Emily Burns, Emily Burns & JP Cooper, JP Cooper]\nTell me does your heart stop\nAt the party when my name drops\nLike you're stood at the platform\nWhen the trains cross\nAre you hurting? Yeah, you must be\nOr is it just me?\nTongue-tied, screaming on the inside\nWhen I say that we broke up and they ask why\nAre you crying in the shower like a freak?\nWith only cigarettes for company?\nAre you crying in the shower like a freak?\nOr is it just me?""}"
Coldplay,Music Of The Spheres,Let Somebody Go,4cGqn0E8JCSY9gQllQj4Mf,0.592,0.342,0,-8.93,0.0339,0.193,0.00245,0.11,0.155,130.953,241595,4,Sad,"{'title': 'Coldplay & Selena Gomez – Let Somebody Go Lyrics', 'lyrics': ""[Intro: Chris Martin]\n(Let somebody, let somebody go)\n\n[Verse 1: Chris Martin,Both]\nWe had a kind of love\nI thought that it would never end\nOh, my lover, oh, my other, oh, my friend\nWe talked around in circles and\nWe talked around and then\nI loved you to the moon and back again\nYou gave everything **this golden glow**\nNow turn off all the stars 'cause this I know\n\n[Chorus: Chirs Martin]\nThat it hurts like so\nTo let somebody go\n\n[Verse 2: Selena Gomez, Chris Martin, Both]\nAll the storms we weathered\nEverything that we went through\nNow without you, what on earth am I to do?\nWhen I called the mathematicians and\nI asked them to explain\nThey said love is only equal to the pain\nAnd when everything was going wrong\nYou could turn my sorrow into song\n[Chorus: Selena Gomez & Chris Martin, Chris Martin ]\nOh, it hurts like so\nTo let somebody go\nTo let somebody go (Body go)\nOh, oh-oh (Oh-oh)\nOh, oh-oh\n(Let somebody, let somebody go)\n\n[Bridge: Chris Martin, with Selena Gomez]\nOh, oh-oh (Oh), when you love somebody (Oh)\nWhen you love somebody (Oh)\nGot to let somebody know\nOh, oh-oh (Oh), when you love somebody (Oh)\nWhen you love somebody (Oh)\nGot to let somebody know\nSo when you love somebody\nWhen you love somebody\n\n[Chorus: Chris Martin]\nThen it hurts like so\nTo let somebody go\nIt hurts like so\nTo let somebody go\n\n[Outro: Chris Martin]\nBut you're still with me now, I know\n(Let somebody, let somebody go)\nOh (Let somebody, let somebody go)\nBut you're still with me now, I know""}"
Adele,25,Love In The Dark,0DuWDLjriRPjDRoPgaCslY,0.495,0.323,9,-6.901,0.0275,0.536,0.0,0.109,0.14,109.731,285935,4,Sad,NaN
