artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
Kelly Clarkson,Breakaway,Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,0.662,0.741,0,-5.406,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960,4,Angry
P!nk,Greatest Hits...So Far!!!,So What,7bprRkhvOXWmWpqOrEWbXu,0.531,0.864,11,-2.978,0.0433,0.000105,2.05e-06,0.346,0.402,126.02,214520,4,Angry
Christina Aguilera,Stripped,Fighter,7nXq1vaZiz7PdbfojpPjW5,0.435,0.92,4,-1.357,0.201,0.235,0.000353,0.552,0.45,188.899,245960,4,Angry
Fifth Harmony,Reflection (Deluxe),BO$$,1COvXs6jaykXC73h9OSBVM,0.813,0.872,9,-5.224,0.107,0.00621,0.0,0.0498,0.736,103.016,171413,4,Angry
Destiny's Child,Survivor,Survivor,2Mpj1Ul5OFPyyP4wB62Rvi,0.514,0.911,1,-2.027,0.41,0.0559,0.0,0.775,0.619,161.109,254027,4,Angry
Various Artists,EDM - Electronic Dance Music,I Love It (feat. Charli XCX) - Tiesto Remix,70ceGVMRB9zIHt4NX07Dgi,0.532,0.94,8,-4.372,0.155,0.000933,0.789,0.481,0.397,128.005,310718,4,Angry
Selena Gomez,Revival (Deluxe),Same Old Love,6ZANrVuAMp2rpjhfbOuJly,0.672,0.593,11,-4.01,0.0304,0.0223,0.0,0.214,0.438,98.02,229080,4,Angry
Katy Perry,One Of The Boys,Hot N Cold,1TEjSXPdAakDotj2Wji3PU,0.706,0.841,7,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227,4,Angry
Lady Gaga,Born This Way (International Standard Version),Born This Way,209NkbzmsUa9pAobU7xGyf,0.587,0.828,11,-5.105,0.149,0.00364,0.0,0.327,0.519,123.884,260253,4,Angry
Katy Perry,Bon Appétit,Bon Appétit,14oOKFGuXu8DqvOe1W8vao,0.797,0.791,6,-5.799,0.0626,0.115,6e-05,0.144,0.516,106.044,227292,4,Angry
Britney Spears,Circus (Deluxe Version),Womanizer,4fixebDZAVToLbUCuEloa2,0.724,0.695,11,-5.226,0.0622,0.073,0.0,0.0889,0.235,139.0,224400,4,Angry
Rihanna,Good Girl Gone Bad: Reloaded,Shut Up And Drive,3m7Fne4xA0bsKzEaWbNucr,0.735,0.826,1,-4.902,0.0349,0.00101,0.129,0.197,0.74,132.964,212280,4,Angry
P!nk,I'm Not Dead,Stupid Girls,5oxGaQRd6cLnEcxxbw0soP,0.683,0.886,4,-5.045,0.071,0.000738,0.00188,0.0524,0.566,100.04,197173,4,Angry
Taylor Swift,I Knew You Were Trouble.,I Knew You Were Trouble.,4GzDUKkd1RwAtYZMMUBM3W,0.599,0.474,6,-6.794,0.0379,0.00532,2.84e-06,0.0216,0.649,154.182,222733,4,Angry
The Pussycat Dolls,PCD (Revised International Version),Don't Cha,24kGngQeXHt0uhffKpq0zj,0.875,0.631,1,-3.475,0.099,0.00542,2.54e-06,0.127,0.549,120.002,272080,4,Angry
Avril Lavigne,The Best Damn Thing,Girlfriend,5HbCnVLXRyZVxnreOPgJCK,0.56,0.959,7,-2.433,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,4,Angry
Katy Perry,One Of The Boys,I Kissed A Girl,005lwxGU1tms6HGELIcUv9,0.699,0.76,5,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,179640,4,Angry
Britney Spears,Circus (Deluxe Version),Circus,7jk7gqyEonmVVYahZN5zhW,0.791,0.733,6,-5.215,0.052,0.147,0.000381,0.0713,0.761,114.98,192360,4,Angry
Rihanna,Good Girl Gone Bad: Reloaded,Umbrella,49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4,Angry
The Pussycat Dolls,Doll Domination (Revised International Version),When I Grow Up,7aKOynv41IGU8uiXmpz7ok,0.673,0.686,11,-5.745,0.0454,0.00154,0.0,0.382,0.34,118.43,245680,4,Angry
Gwen Stefani,Love Angel Music Baby,Hollaback Girl,6RcQOut9fWL6FSqeIr5M1r,0.918,0.918,10,-2.218,0.0954,0.344,5.35e-06,0.0243,0.882,110.024,199907,4,Angry
Fergie,The Dutchess,Fergalicious,1D066zixBwqFYqBhKgdPzp,0.906,0.584,8,-7.72,0.316,0.0576,0.0,0.128,0.831,129.055,292373,4,Angry
Katy Perry,Teenage Dream,California Gurls,6KOEK6SeCEZOQkLj5M1PxH,0.788,0.753,0,-3.71,0.0536,0.0038,0.0,0.18,0.403,125.005,234653,4,Angry
SZA,Ctrl,Supermodel,5wTVNpi5WDByxBgKgUE6MU,0.613,0.442,6,-8.874,0.288,0.651,0.0,0.26,0.252,119.737,181120,5,Angry
No Doubt,The Singles Collection,Just A Girl,6mfkHv00I6jhHIn7EWHJ2N,0.635,0.937,2,-2.86,0.0452,0.0741,7.29e-05,0.134,0.779,108.003,205947,4,Angry
Beyoncé,BEYONCÉ [Platinum Edition],***Flawless (feat. Chimamanda Ngozi Adichie),7tefUew2RUuSAqHyegMoY1,0.476,0.688,1,-7.799,0.245,0.0953,0.000645,0.438,0.352,140.553,250960,4,Angry
P!nk,Funhouse: The Tour Edition,So What,19qn6oU2t0E72ENA0aWNsX,0.535,0.888,11,-3.1,0.0446,0.000304,2.17e-06,0.324,0.451,126.011,215160,4,Angry
Demi Lovato,Confident (Deluxe Edition),Confident,0Mn3amMRMoabaoTf1Publ4,0.594,0.749,3,-6.251,0.0677,0.00188,0.000139,0.0869,0.344,130.064,205746,4,Angry
Nancy Sinatra,Boots,These Boots Are Made For Walkin',2nwCO1PqpvyoFIvq3Vrj8N,0.74,0.392,9,-11.996,0.0824,0.483,1.11e-06,0.0965,0.387,82.742,166008,4,Angry
Demi Lovato,Demi,Really Don't Care,5vTPxzm4h2bY9rYyVrGEU5,0.706,0.728,7,-3.602,0.0852,0.123,0.0,0.185,0.851,121.017,201600,4,Angry
Lily Allen,"It's Not Me, It's You",Fuck You,5st5644IlBmKiiRE73UsoZ,0.775,0.904,1,-4.08,0.0437,0.0271,0.000303,0.06,0.84,130.009,219893,4,Angry
Beyoncé,B'Day Deluxe Edition,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,0.447,0.694,7,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853,4,Angry
Sleater-Kinney,The Woods,Jumpers,089EHpvcaDJeRxMkCol2oB,0.373,0.966,11,-1.502,0.0606,0.0139,2.49e-05,0.113,0.15,145.56,264920,4,Angry
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Suffragette City - 2012 Remaster,3YZa4IzxK2UtEKTvdTgsi8,0.455,0.883,2,-9.159,0.0384,0.368,0.0,0.277,0.782,142.638,208413,4,Angry
P!nk,Raise Your Glass,Raise Your Glass,12lZTPlXwUtrQuhEty6098,0.7,0.695,7,-4.973,0.0897,0.00629,0.0,0.0319,0.633,122.028,203333,4,Angry
Miley Cyrus,Can't Be Tamed,Can't Be Tamed,47cvLbenIcT3GDqFL6duZ0,0.63,0.91,11,-2.919,0.144,0.0287,0.0,0.196,0.743,116.98,168213,4,Angry
Destiny's Child,Survivor,Bootylicious,41nT1Sp6ChR65FbsdLlFHW,0.84,0.835,1,-4.386,0.275,0.00281,1.11e-06,0.152,0.637,103.376,207907,4,Angry
Nelly Furtado,The Best of Nelly Furtado (International Version),Promiscuous,7cUhxtLxcNZXV6Qdpi8PTO,0.818,0.972,10,-6.032,0.0502,0.0521,4.7e-05,0.168,0.891,114.315,242373,4,Angry
Lily Allen,Sheezus,Hard out Here,6FzUX4kFBss56SSjAsLi7t,0.823,0.822,1,-5.323,0.0334,0.113,4.57e-05,0.0688,0.938,125.026,211377,4,Angry
The Pussycat Dolls,PCD (Revised International Version),I Don't Need A Man,1OakwmqlAsweeecdYGqkXO,0.77,0.954,10,-3.898,0.0436,0.048,5.3e-05,0.0691,0.743,105.838,219093,4,Angry
Little Mix,Salute (The Deluxe Edition),Salute,2E0fhpXbNfksy2mdjm57bf,0.641,0.732,2,-5.324,0.051,0.0992,0.0,0.285,0.352,82.027,236013,4,Angry
Avril Lavigne,Goodbye Lullaby,What the Hell,5zTzDqrEmseqL2G8ElgBu7,0.571,0.932,6,-3.68,0.0576,0.00448,0.00939,0.117,0.864,150.014,220627,4,Angry
Christina Aguilera,Stripped,Can't Hold Us Down (feat. Lil' Kim),0cv1Mnb47oMvjVKMc2cyZw,0.859,0.658,8,-4.481,0.192,0.0326,0.00181,0.0651,0.538,98.989,255267,4,Angry
Shania Twain,Come On Over,Man! I Feel Like A Woman!,0IF0vGwaJQ8ZCh0QxhW6OV,0.678,0.899,10,-2.937,0.048,0.637,0.0,0.347,0.757,124.944,233000,4,Angry
The Pussycat Dolls,PCD,Wait A Minute,6LDasBOWaNQEGgpDLaKDnJ,0.867,0.854,8,-5.211,0.0478,0.0496,2.73e-05,0.323,0.972,136.446,221947,4,Angry
Britney Spears,Oops!... I Did It Again,Stronger,5QhBKPqsnX1uY9fZNaAtZg,0.707,0.923,11,-3.957,0.0521,0.128,0.000437,0.273,0.842,108.049,203000,4,Angry
TLC,Fanmail,No Scrubs,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,Angry
Fifth Harmony,7/27 (Deluxe),That's My Girl,2ACOWPLUe4A4KuQ5ioD2od,0.596,0.851,5,-4.245,0.121,0.0358,3.19e-05,0.365,0.612,202.049,204013,4,Angry
Demi Lovato,Tell Me You Love Me,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,0.702,0.635,11,-6.917,0.265,0.0223,0.0,0.283,0.873,144.004,203760,4,Angry
M.I.A.,Matangi,Bad Girls,6nzXkCBOhb2mxctNihOqbb,0.639,0.912,1,-2.621,0.0615,0.00107,0.0,0.097,0.343,143.448,227520,4,Angry
Meghan Trainor,NO,NO,0NmeI6UpRE27dxxgosD5n9,0.742,0.809,1,-3.591,0.176,0.0116,2.77e-06,0.726,0.632,93.95,213524,4,Angry
Lily Allen,"It's Not Me, It's You",Not Fair,3NHXj1DBuoxA7HL0xfQAZC,0.718,0.806,5,-9.191,0.0376,0.052,0.0137,0.0932,0.929,121.488,202547,4,Angry
Beyoncé,Best Thing I Never Had,Best Thing I Never Had,1pelUc7p61q4HfnoVQKdL0,0.543,0.665,6,-4.072,0.0344,0.126,3.05e-05,0.0868,0.286,99.13,252613,4,Angry
Nelly Furtado,Loose,Say It Right,5AtFypwxB2ShXSxNj12dEd,0.871,0.869,1,-6.308,0.139,0.0409,0.00111,0.053,0.834,116.95,223080,4,Angry
Nelly Furtado,Loose,Maneater,1M9uq2yCiOhsO6BFozo2OE,0.792,0.77,6,-4.811,0.0392,0.0318,0.000194,0.122,0.732,132.793,258840,4,Angry
Rihanna,Good Girl Gone Bad: Reloaded,Breakin' Dishes,46aZJc0z1HHHSFxaIRxYSP,0.801,0.674,8,-4.185,0.0311,0.000282,0.000139,0.0914,0.875,125.009,200573,4,Angry
Rihanna,Loud,Man Down,454h9zAIuTe1eJyw9iTnj4,0.479,0.906,0,-4.03,0.188,0.0406,0.0,0.051,0.536,155.887,266987,4,Angry
Dua Lipa,Dua Lipa (Deluxe),IDGAF,76cy1WJvNGJTj78UqeA5zr,0.836,0.544,7,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,4,Angry
Ariana Grande,Sweetener,God is a woman,5OCJzvD7sykQEKHH7qAC3C,0.602,0.658,1,-5.934,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4,Angry
blackbear,digital druglord,do re mi,2MX30RliaxJDgmQ3C3rrJX,0.745,0.605,8,-6.333,0.0492,0.00474,9.28e-06,0.136,0.164,110.979,212027,3,Angry
Carly Rae Jepsen,Kiss (Deluxe),Tonight I’m Getting Over You,471JtpRQ0oox9OoZcbB8OO,0.72,0.776,10,-5.331,0.043,0.00549,0.000298,0.365,0.135,125.96,219213,4,Angry
Ariana Grande,My Everything (Deluxe),Break Free,12KUFSHFgT0XCoiSlvdQi4,0.687,0.702,7,-5.324,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,4,Angry
Lady Gaga,The Fame,Just Dance,1dzQoRqT5ucxXVaAhTcT0J,0.822,0.739,1,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4,Angry
Sabrina Carpenter,Singular Act I,Sue Me,3WVhkjB7Y4xFruqoCAajBb,0.46,0.809,6,-5.415,0.326,0.0422,5.04e-05,0.138,0.609,157.184,179227,4,Angry
Christina Aguilera,Bionic (Deluxe Version),I Hate Boys,2MzmobpruYSw7n93RdEWGU,0.758,0.661,1,-5.609,0.101,0.00861,0.000649,0.955,0.592,138.051,144160,4,Angry
Christina Aguilera,Keeps Gettin' Better: A Decade Of Hits,Candyman,3Fho4rc2dQpS2drA4Y37v2,0.662,0.735,11,-4.866,0.21,0.00529,9.08e-05,0.103,0.622,173.031,193733,4,Angry
Olivia Rodrigo,good 4 u,good 4 u,6PERP62TejQjgHu81OHxgM,0.556,0.661,6,-5.052,0.204,0.3,0.0,0.101,0.668,168.56,178148,4,Angry
Olivia Rodrigo,SOUR,brutal,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747,4,Angry
The Ting Tings,We Started Nothing,That's Not My Name,2DNdEpV9UnsYjL6w1Dp1aS,0.755,0.901,9,-3.152,0.0893,0.0451,0.0373,0.363,0.959,145.042,310573,4,Angry
Ciara,The Evolution,Like a Boy,1qoRqpfQdPf0SftHDo7w4o,0.701,0.724,0,-5.751,0.145,0.267,0.0,0.0867,0.425,132.035,237053,4,Angry
Get Scared,Best Kind Of Mess,Sarcasm,40i81AcCCxiVEFUWElcjZC,0.387,0.929,7,-4.825,0.161,0.00238,7.22e-06,0.314,0.591,180.359,198080,4,Angry
Panic! At The Disco,Death of a Bachelor,Victorious,6od5hFv9IT5JHc7NEF9HRv,0.57,0.865,8,-4.518,0.0472,0.00205,0.0,0.404,0.691,110.01,178600,4,Angry
