artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
Tom Rosenthal,Z-Sides,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,3,-16.887,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4,Calm
Maggie Rogers,Notes from the Archive: Recordings 2011-2016,New Song,3PUMPtOSeXSJsBvK43K96b,0.65,0.28,4,-7.442,0.0305,0.495,3.55e-06,0.106,0.103,119.939,382613,3,Calm
Noah Kahan,Cape Elizabeth,Maine,3Z2anmIVG8b1GelyeFQdnP,0.533,0.24,6,-9.512,0.0424,0.729,0.0,0.223,0.265,175.486,232618,4,Calm
Jordy Searcy,Dark in the City,Love & War in Your Twenties,4ZRrMMzxprxmGneblonNz7,0.736,0.525,2,-9.694,0.0296,0.22,0.00153,0.127,0.529,102.986,250547,4,Calm
Noah Cyrus,July (feat. Leon Bridges),July (feat. Leon Bridges),3V0nnQhqvbE3JmiDdnzQFQ,0.708,0.211,9,-9.603,0.0424,0.853,0.0,0.131,0.362,72.5,152280,4,Calm
The Head And The Heart,The Head and the Heart,Down in the Valley,0hgfbmstNlUnrNixEhx1VM,0.417,0.395,0,-11.416,0.029,0.505,0.0272,0.113,0.178,105.841,303653,4,Calm
Lizzy McAlpine,Give Me A Minute,To the Mountains,2CK9xYMVdmJMPKZyArVbt4,0.461,0.147,4,-14.022,0.033,0.918,0.000638,0.0846,0.267,78.809,193800,1,Calm
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,0.652,0.545,1,-9.021,0.0358,0.774,0.0428,0.0847,0.626,107.019,229760,4,Calm
Trousdale,Wouldn't Come Back,Wouldn't Come Back,1zeQjPT367QcGrkpIXYjuW,0.602,0.234,11,-9.419,0.0334,0.635,2.54e-06,0.0987,0.307,124.964,219533,4,Calm
Wild Rivers,Songs to Break Up To,Thinking 'Bout Love,3d3LHam2Lc5ADEyJxG3fXE,0.732,0.328,5,-8.13,0.0327,0.487,0.0,0.0677,0.385,141.789,199391,4,Calm
Joy Oladokun,in defense of my own happiness,look up,0oEji7lz6paMOdk97XEK4Z,0.446,0.295,0,-9.711,0.0321,0.829,0.0,0.14,0.197,119.931,213933,3,Calm
Caamp,"Fall, Fall, Fall","Fall, Fall, Fall",4MEhUxj35YRT7mqMaJgcWB,0.569,0.146,6,-12.568,0.046,0.905,0.00951,0.106,0.216,116.928,281180,3,Calm
Harry Styles,Fine Line,Cherry,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,7,-9.261,0.0259,0.615,0.00453,0.129,0.411,95.946,259187,4,Calm
Hozier,Hozier (Expanded Edition),Cherry Wine - Live,1C042FLYy7rP3MfnkOcnha,0.415,0.11,1,-14.901,0.0388,0.951,0.00236,0.0962,0.234,81.876,240147,4,Calm
Maggie Rogers,Love You For A Long Time,Love You For A Long Time,6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,9,-6.137,0.0323,0.164,0.00283,0.109,0.822,112.993,223120,4,Calm
The Paper Kites,Woodland - EP,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,0.592,0.416,1,-9.794,0.0246,0.882,0.000586,0.112,0.417,96.002,210080,4,Calm
Handsome Ghost,Some Still Morning,Weeds,2wOQdQ3cXCPARPHwOF4UqZ,0.579,0.325,0,-9.835,0.0284,0.721,2.24e-06,0.403,0.428,79.985,253670,4,Calm
Lorde,Stoned at the Nail Salon,Stoned at the Nail Salon,0WLVSnKqQBK4UPom1TESHK,0.466,0.113,2,-13.325,0.0414,0.947,7.53e-05,0.0986,0.104,125.369,266432,4,Calm
Noah Kahan,Cape Elizabeth,Anyway,5FwlCxV2Q4xjTywLsD3Kxe,0.65,0.156,7,-10.686,0.0338,0.742,0.0,0.126,0.243,133.919,312146,4,Calm
Taylor Swift,folklore,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4,Calm
Abby Cates,Roadtripsong,Roadtripsong,7bZP1hWx4jVnRUr0FgZ4nR,0.529,0.0759,2,-17.689,0.0331,0.656,0.0,0.156,0.353,139.683,221143,3,Calm
The Lumineers,Walls,Walls,3UpEsDQyd6eyRQzgQdNyGo,0.609,0.44,10,-6.32,0.0265,0.692,0.0,0.0688,0.43,108.427,199119,4,Calm
Novo Amor,Birthplace,State Lines,7CoMBpPTwQi2wPT0U0Nr9b,0.509,0.31,9,-10.623,0.0313,0.959,0.229,0.0963,0.151,137.474,208653,3,Calm
The Head And The Heart,The Head and the Heart,Rivers and Roads,7d1GPc45c9wtmYxNSwLXTy,0.501,0.177,0,-9.795,0.0345,0.707,3.17e-05,0.0762,0.19,131.183,284000,3,Calm
