artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,0.102,0.216,0,0.0608,0.479,124.111,183726,4,Energy
Ed Sheeran,Bad Habits,Bad Habits,6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4,Energy
The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,141806,4,Energy
Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,9,-3.764,0.0397,0.021,0,0.323,0.646,123.056,182200,4,Energy
Ava Max,Heaven & Hell,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,0.614,0.934,9,-3.709,0.07,0.0697,0,0.121,0.436,116.001,174760,4,Energy
Shawn Mendes,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4,Energy
Anne-Marie,Therapy,Kiss My (Uh Oh),0MWiSBKm8Avs8iDIxcertp,0.638,0.878,5,-3.639,0.0484,0.0151,0.000223,0.308,0.481,103.948,176800,4,Energy
OneRepublic,Run,Run,2UbVnbE5FH6008mAm6Mmgw,0.682,0.72,11,-8.173,0.0381,0.326,0,0.148,0.673,117.003,169011,4,Energy
Christopher,Fall So Hard,Fall So Hard,07J3p1GchLPc2kAKFgd1TD,0.572,0.797,0,-4.181,0.0497,0.0949,0,0.259,0.598,135.76,214720,4,Energy
Camila Cabello,Don't Go Yet,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,0.666,0.796,10,-6.967,0.103,0.0492,0,0.0442,0.61,110.108,164842,4,Energy
Ava Max,Heaven & Hell,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0.0405,0.00786,0,0.124,0.457,129.857,162399,4,Energy
Joel Corry,BED,BED,7jXQUrVhEpXdymfFWNDnQW,0.663,0.783,6,-4.585,0.0393,0.0134,0.00179,0.325,0.622,123.986,178088,4,Energy
Little Mix,Get Weird (Expanded Edition),Black Magic,6rmXhRIemCTPyMYZRDN7Qg,0.776,0.875,4,-5.535,0.0575,0.0343,0,0.314,0.849,111.988,211786,4,Energy
Taylor Swift,1989 (Deluxe),Shake It Off,0cqRj7pUJDkTCEsJkx8snD,0.647,0.8,7,-5.384,0.165,0.0647,0,0.334,0.942,160.078,219200,4,Energy
