artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
Tones And I,Fly Away,Fly Away,5ri4zqtWhG07hIuNNDWP76,0.806,0.513,4,-6.208,0.0685,0.217,0,0.217,0.503,124.988,178157,4,Happy
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,0.102,0.216,0,0.0608,0.479,124.111,183726,4,Happy
Shawn Mendes,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4,Happy
Justin Bieber,Anyone,Anyone,31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4,Happy
OneRepublic,Run,Run,2UbVnbE5FH6008mAm6Mmgw,0.682,0.72,11,-8.173,0.0381,0.326,0,0.148,0.673,117.003,169011,4,Happy
Ed Sheeran,Shivers,Shivers,6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,2,-2.724,0.0856,0.281,0,0.0424,0.822,141.02,207853,4,Happy
Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,0.0478,0.197,0,0.0943,0.483,125.983,218359,4,Happy
Sam Feldt,The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),140XpWSdJ0jZEbLj9iVnPA,0.667,0.827,11,-5.631,0.0368,0.0863,0,0.0565,0.573,107.95,161944,4,Happy
Martin Jensen,At Least I Had Fun,At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,0.794,0.706,5,-6.066,0.0382,0.198,0,0.0536,0.908,116.032,170614,4,Happy
Tones And I,Cloudy Day,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,0.705,0.776,4,-6.096,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,185304,4,Happy
