track_id,track,duration_ms,album,artist,played_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics,single_text
02MWAaffLxlfxAUY7c5dvx,Heat Waves,238805,Dreamland (+ Bonus Levels),Glass Animals,2021-11-09T23:25:25.760Z,0.761,0.525,11,0.6753353127879594,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"

[Intro]
(Last night, all I think about is you
Don't stop, baby, you can walk through
Don't want, baby, think about you
You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 1]
Usually I put somethin' on TV
So we never think about you and me
But today I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but

[Chorus]
Sometimes all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Verse 2]
You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I'll say goodbye

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Bridge]
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

[Chorus]
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

[Outro]
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror

",last night think stop baby walk want baby think know never gonna lose road shimmer wigglin vision heat heat waves swimmin mirror road shimmer wigglin vision heat heat waves swimmin a— sometimes think late nights middle june heat waves fakin cant make happier sometimes think late nights middle june heat waves fakin cant make happier 1 usually put somethin tv never think today see reflections clearly hollywood layin screen need better life need somethin never give fake water across road gone night come sometimes think late nights middle june heat waves fakin cant make happier 2 cant fight cant breathe say somethin lovin gotta let go better someone new wanna alone know hurts look broken cry one ill say goodbye sometimes think late nights middle june heat waves fakin cant make happier sometimes think late nights middle june heat waves fakin cant make happier bridge wonder dreamin sleep smile comfortable wish could give look thats perfectly unsad sometimes think late nights middle june heat waves fakin heat waves fakin sometimes think late nights middle june heat waves fakin cant make happier sometimes think late nights middle june heat waves fakin cant make happier road shimmer wigglin vision heat heat waves swimmin mirror road shimmer wigglin vision heat heat waves swimmin mirror
6Q7uATH8eg8m71UOzyk1F5,Like I Did,217338,Like I Did,JC Stewart,2021-11-09T23:18:38.243Z,0.626,0.528,4,0.8654653424797789,0.0359,0.35,5.48e-06,0.0995,0.274,119.52,"Lying in this empty bed
I wonder where you lay your head, I
So come on, come on, love
Oh come on, come on, love
I know you said we needed space
But now you're pretty far away, and
So come on, come on, love
Oh come on, come on, love

So don’t say he could ever love you like I, love you like I did
And don't say he could ever treat you better, better than I did
He doesn't know your aching heart
Know your battle scars like I do
Don’t say he could ever love you like I, love you like I did

You say I should've seen the signs
But how am I meant to read your mind?
So come on, come on, love
Oh come on, come on, love

So don't say he could ever love you like I, love you like I did
And don't say he could ever treat you better, better than I did
He doesn't know your aching heart
Know your battle scars like I do
Don't say he could ever love you like I, love you like I did

Oh oh oh
Love you like I, love you like I did
Oh oh oh

But if I'm honest with myself
It ain't so easy now to admit
And maybe all of me, oh every part of me
Just wasn’t what you needed

So I know he will always love you like I, love you like I did
And I know maybe he could treat you better, better than I did
Oh he knows your aching heart
Knows your battle scars like I do
But I know he will always love you like I, love you like I did

Ooh, love you like I, love you like I did",lying empty bed wonder lay head come come love come come love know said needed space pretty far away come come love come come love don’t say could ever love like love like say could ever treat better better know aching heart know battle scars like don’t say could ever love like love like say seen signs meant read mind come come love come come love say could ever love like love like say could ever treat better better know aching heart know battle scars like say could ever love like love like love like love like honest aint easy admit maybe every part wasn’t needed know always love like love like know maybe could treat better better knows aching heart knows battle scars like know always love like love like love like love like
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,264306,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,2021-11-09T23:15:04.595Z,0.559,0.345,4,0.0,0.0459,0.0576,0.000105,0.141,0.458,84.581,"Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, The City of Angels
Lonely as I am together we cry

I drive on her streets 'cause she's my companion
I walk through her hills 'cause she knows who I am
She sees my good deeds and she kisses me windy
Well, I never worry, now that is a lie

I don't ever wanna feel like I did that day
But take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
But take me to the place I love take me all the way

Yeah, yeah yeah

It's hard to believe that there's nobody out there
It's hard to believe that I'm all alone
At least I have her love
The city, she loves me
Lonely as I am together we cry

I don't ever wanna feel like I did that day
But take me to the place I love take me all the way
I don't ever wanna feel like I did that day
But take me to the place I love take me all the way

Yeah, yeah yeah
Oh, no, no, no, yeah yeah
Love me, I say, yeah yeah
One time

(Under the bridge downtown)
Is where I drew some blood
(Under the bridge downtown)
I could not get enough
(Under the bridge downtown)
Forgot about my love
(Under the bridge downtown)
I gave my life away, yeah
Yeah yeah
Oh, no, no no no, yeah yeah
Oh no, I said oh, yeah yeah
Here I stay",sometimes feel like partner sometimes feel like friend city live city angels lonely together cry drive streets cause companion walk hills cause knows sees good deeds kisses windy well never worry lie ever wanna feel like day take place love take way ever wanna feel like day take place love take way hard believe theres nobody hard believe alone least love city loves lonely together cry ever wanna feel like day take place love take way ever wanna feel like day take place love take way love say one time bridge downtown drew blood bridge downtown could get enough bridge downtown forgot love bridge downtown gave life away said stay
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,267933,Eyes Open,Snow Patrol,2021-11-09T23:10:44.385Z,0.563,0.592,9,0.9137913381795844,0.0276,0.209,5.08e-05,0.132,0.136,104.016,"

[Intro]

[Verse 1]
We'll do it all
Everything
On our own
We don't need
Anything or anyone

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?

[Verse 2]
I don't quite know
How to say
How I feel
Those three words
Are said too much
They're not enough

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?
Forget what we're told
Before we get too old
Show me a garden that's burstin' into life

[Verse 3]
Let's waste time
Chasing cars
Around our heads
I need your grace
To remind me
To find my own

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?
Forget what we're told
Before we get too old
Show me a garden that's burstin' into life

[Bridge]
All that I am
All that I ever was
Is here in your perfect eyes, they're all I can see
I don't know where
Confused about how, as well
Just know that these things will never change for us at all

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?

[Outro]

",1 well everything need anything anyone lay lay would lie forget world 2 quite know say feel three words said much theyre enough lay lay would lie forget world forget told get old show garden thats burstin life 3 lets waste time chasing cars around heads need grace remind find lay lay would lie forget world forget told get old show garden thats burstin life bridge ever perfect eyes theyre see know confused well know things never change us lay lay would lie forget world
6tS3XVuOyu10897O3ae7bi,California Gurls,234653,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2021-11-09T23:04:35.595Z,0.791,0.754,0,1.0,0.0569,0.00446,0.0,0.163,0.425,125.014,"

[Intro: Snoop Dogg]
Greetings, loved ones
Let's take a journey

[Verse 1: Katy Perry]
I know a place where the grass is really greener
Warm, wet and wild
There must be something in the water
Sipping gin and juice
Laying underneath the palm trees (Undone)
The boys break their necks
Tryna creep a little sneak peek (At us)

[Pre-Chorus: Katy Perry]
You could travel the world
But nothing comes close to the golden coast
Once you party with us
You'll be falling in love
Oh-oh-oh-oh-oh-oh-oh

[Chorus: Katy Perry]
California girls, we're unforgettable
Daisy Dukes, bikinis on top
Sun-kissed skin so hot, we'll melt your popsicle
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh
California girls, we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent, now put your hands up
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh

[Verse 2: Katy Perry]
Sex (Sex) on the beach
We don't mind sand in our stilettos
We freak in my Jeep ​*horn honks*​
Snoop Doggy Dogg on the stereo, oh-oh

[Pre-Chorus: Katy Perry]
You could travel the world (You could travel the world)
But nothing comes close to the golden coast
Once you party with us (Once you party with us)
You'll be falling in love
Oh-oh-oh-oh-oh-oh-oh

[Chorus: Katy Perry & (Snoop Dogg)]
California girls, we're unforgettable (California)
Daisy Dukes, bikinis on top
Sun-kissed skin so hot, we'll melt your popsicle
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh
California girls (California), we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent (West Coast), now put your hands up
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh

[Verse 3: Snoop Dogg & Katy Perry, Both]
Toned, tan, fit and ready
Turn it up cause it's getting heavy
Wild, wild, West Coast
These are the girls I love the most
I mean the ones, I mean like she's the one
Kiss her, touch her, squeeze her buns (Uh!)
The girl's a freak
She drive a Jeep and live on the beach
I'm okay, I won't play
I love the Bay just like I love L.A
Venice Beach and Palm Springs
Summertime is everything
Homeboys banging out
All that ass hanging out
Bikinis, zucchinis, martinis, no weenies
Just the king and a queenie
Katy, my lady (Yeah?)
Lookie here, baby (Uh-huh)
I'm all up on ya
'Cause you representin' California (Oh-oh, yeah)

[Chorus: Katy Perry & (Snoop Dogg)]
California girls, we're unforgettable
Daisy Dukes, bikinis on top
Sun-kissed skin so hot, we'll melt your popsicle
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh (Come on, come on)
California girls, we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent (West Coast, West Coast)
Now put your hands up (Aye, aye)
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh-oh

[Outro: Snoop Dogg & (Katy Perry)]
(California, California girls)
California girls, man
(California) Hahahaha
(California Girls)
I really wish you all could be California girls

",greetings loved ones lets take journey 1 katy perry know place grass really greener warm wet wild must something water sipping gin juice laying underneath palm trees undone boys break necks tryna creep little sneak peek us prechorus katy perry could travel world nothing comes close golden coast party us falling love ohohohohohohoh katy perry california girls unforgettable daisy dukes bikinis top sunkissed skin hot well melt popsicle ohohohohoh ohohohohohohoh california girls undeniable fine fresh fierce lock west coast represent put hands ohohohohoh ohohohohohohoh 2 katy perry sex sex beach mind sand stilettos freak jeep ​horn honks​ snoop doggy dogg stereo ohoh prechorus katy perry could travel world could travel world nothing comes close golden coast party us party us falling love ohohohohohohoh katy perry snoop dogg california girls unforgettable california daisy dukes bikinis top sunkissed skin hot well melt popsicle ohohohohoh ohohohohohohoh california girls california undeniable fine fresh fierce lock west coast represent west coast put hands ohohohohoh ohohohohohohoh 3 snoop dogg katy perry toned tan fit ready turn cause getting heavy wild wild west coast girls love mean ones mean like one kiss touch squeeze buns uh girls freak drive jeep live beach okay play love bay like love la venice beach palm springs summertime everything homeboys banging ass hanging bikinis zucchinis martinis weenies king queenie katy lady lookie baby uhhuh ya cause representin california ohoh katy perry snoop dogg california girls unforgettable daisy dukes bikinis top sunkissed skin hot well melt popsicle ohohohohoh ohohohohohohoh come come california girls undeniable fine fresh fierce lock west coast represent west coast west coast put hands aye aye ohohohohoh ohohohohohohoh snoop dogg katy perry california california girls california girls man california hahahaha california girls really wish could california girls
0DuWDLjriRPjDRoPgaCslY,Love In The Dark,285935,25,Adele,2021-11-09T20:01:12.476Z,0.495,0.323,9,0.6752329272038498,0.0275,0.536,0.0,0.109,0.14,109.731,"

[Verse 1]
Take your eyes off of me so I can leave
I'm far too ashamed to do it with you watching me
This is never ending, we have been here before
But I can't stay this time 'cause I don't love you anymore

[Pre-Chorus]
Please stay where you are, don't come any closer
Don't try to change my mind, I'm being cruel to be kind

[Chorus]
I can't love you in the dark
It feels like we're oceans apart
There is so much space between us
Baby, we're already defeated
Ah-yeah-yeah-yeah-yeah-yeah-yeah-yeah everything changed me

[Verse 2]
You have given me something that I can't live without
You mustn't underestimate that when you are in doubt
But I don't want to carry on like everything is fine
The longer we ignore it all the more that we will fight

[Pre-Chorus]
Please don't fall apart, I can't face your breaking heart
I'm trying to be brave, stop asking me to stay

[Chorus]
I can't love you in the dark
It feels like we're oceans apart
There is so much space between us
Baby, we're already defeated
Ah-yeah-yeah-yeah-yeah-yeah-yeah-yeah everything changed me

[Bridge]
We're not the only ones
I don't regret a thing
Every word I've said
You know I'll always mean
It is the world to me
That you are in my life
But I want to live and not just survive

[Instrumental Interlude]

[Chorus]
That's why I can't love you in the dark
It feels like we're oceans apart
There is so much space between us
Baby, we're already defeated
'Cause ah-yeah-yeah-yeah-yeah-yeah everything changed me
And I-I-I-I-I don't think you can save me

",take eyes leave far ashamed watching never ending cant stay time cause love anymore prechorus please stay come closer try change mind cruel kind cant love dark feels like oceans apart much space us baby already defeated ahyeahyeahyeahyeahyeahyeahyeah everything changed 2 given something cant live without underestimate doubt want carry like everything fine longer ignore fight prechorus please fall apart cant face breaking heart trying brave stop asking stay cant love dark feels like oceans apart much space us baby already defeated ahyeahyeahyeahyeahyeahyeahyeah everything changed bridge ones regret thing every word ive said know ill always mean world life want live survive instrumental interlude thats cant love dark feels like oceans apart much space us baby already defeated cause ahyeahyeahyeahyeahyeah everything changed iiiii think save
4WM5HfHQZ0N4o8HDNwRmRk,Nothing’s Gonna Happen,216746,Good Woman,The Staves,2021-11-09T19:26:17.933Z,0.36,0.209,2,0.12357940002047707,0.0322,0.77,5.1e-05,0.129,0.213,75.349,"How can I rearrange
And put it on the page
When the enemy's at the door
And there's nothing you can do they've never seen before
And everybody knows
Nothing's gonna happen with your back against the door
Could I be the only one still waiting?
I can wait some more
Tell me what happens, will I be okay?
I can see a fire from a mile away
'Cause nothing's gonna happen with your back against the door
If I could reach you now
I'd say that I am proud
Of everything you've done
And the wonderful man I know you have become
'Cause maybe you don't know
Nothing's gonna happen with your back against the door
Could I be the only one still waiting?
I can wait some more
Tell me what happens, will I be okay?
Tell me that you love me when you're miles away
Nothing's gonna happen with your back against the door
Loneliness is on the dawn
Loving is a line
I saw it on the sign
It's a line to drag you in
It's false advertising
And no one wants to say
Nothing's gonna happen with your back against the door
Could I be the only one still waiting?
I can wait some more
Tell me what happens, will I be okay?
I can see a fire from a mile away
'Cause nothing's gonna happen with your back against the door",rearrange put page enemys door theres nothing theyve never seen everybody knows nothings gonna happen back door could one still waiting wait tell happens okay see fire mile away cause nothings gonna happen back door could reach id say proud everything done wonderful man know become cause maybe know nothings gonna happen back door could one still waiting wait tell happens okay tell love miles away nothings gonna happen back door loneliness dawn loving line saw sign line drag false advertising one wants say nothings gonna happen back door could one still waiting wait tell happens okay see fire mile away cause nothings gonna happen back door
2E43WFS4rRc09za2r2GmZl,My Songs Know What You Did In The Dark (Light Em Up),186826,Save Rock And Roll,Fall Out Boy,2021-11-09T18:59:09.616Z,0.558,0.924,9,0.9373400225248285,0.064,0.0271,3.32e-06,0.537,0.567,151.99,"

[Intro]
Oh-oh-oh-oh-oh, oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh

[Verse 1]
B-B-Be careful making wishes in the dark, dark
Can't be sure when they've hit their mark
And besides in the mean-meantime, I'm just
Dreaming of tearing you apart
I'm in the de-details with the devil
You know, the world can never get me on my level
I just got to get you out the cage, I'm a young lover's rage
Gonna need a spark to ignite

[Pre-Chorus]
But my songs know what you did in the dark

[Chorus]
So light 'em up, up, up
Light 'em up, up, up
Light 'em up, up, up
I'm on fire
So light 'em up, up, up
Light 'em up, up, up
Light 'em up, up, up
I'm on fire
Oh-oh-oh-oh-oh, oh-oh-oh-oohohh
In the dark, dark
Oh-oh-oh-oh-oh, oh-oh-oh-oohohh
In the dark, dark

[Verse 2]
Well all the writers keep writing what they write
Somewhere another pretty vein just died (Died)
I've got the scars from tomorrow and I wish you could see
That you're the antidote to everything except for me
Through a constellation of tears on your lashes
Burn everything you love then burn the ashes
In the end everything collides, my childhood
Spat back out the monster that you see

[Pre-Chorus]
My songs know what you did in the dark

[Chorus]
So light 'em up, up, up
Light 'em up, up, up
Light 'em up, up, up
I'm on fire
So light 'em up, up, up
Light 'em up, up, up
Light 'em up, up, up
I'm on fire
Oh-oh-oh-oh-oh, oh-oh-oh-oh
In the dark, dark
Oh-oh-oh-oh-oh, oh-oh-oh-oh
In the dark, dark

(Left left left right left)
(Left left left right left)
(Left left left right left)

[Pre-Chorus]
My songs know what you did in the dark
(My songs know what you did in the dark)

[Chorus]
So light 'em up, up, up
Light 'em up, up, up
Light 'em up, up, up
I'm on fire
So light 'em up, up, up
Light 'em up, up, up
Light 'em up, up, up
I'm on fire
Oh-oh-oh-oh-oh, oh-oh-oh-oh
In the dark, dark
Oh-oh-oh-oh-oh, oh-oh-oh-oh
In the dark, dark
Oh-oh-oh-oh-oh, oh-oh-oh-oh

",ohohohohoh ohohohoh ohohohohoh ohohohoh 1 bbbe careful making wishes dark dark cant sure theyve hit mark besides meanmeantime dreaming tearing apart dedetails devil know world never get level get cage young lovers rage gonna need spark ignite prechorus songs know dark light em light em light em fire light em light em light em fire ohohohohoh ohohohoohohh dark dark ohohohohoh ohohohoohohh dark dark 2 well writers keep writing write somewhere another pretty vein died died ive scars tomorrow wish could see antidote everything except constellation tears lashes burn everything love burn ashes end everything collides childhood spat back monster see prechorus songs know dark light em light em light em fire light em light em light em fire ohohohohoh ohohohoh dark dark ohohohohoh ohohohoh dark dark left left left right left left left left right left left left left right left prechorus songs know dark songs know dark light em light em light em fire light em light em light em fire ohohohohoh ohohohoh dark dark ohohohohoh ohohohoh dark dark ohohohohoh ohohohoh
7d0R90VzB45UWf3Aey0X22,Jet Pack Blues,179266,American Beauty/American Psycho,Fall Out Boy,2021-11-09T18:33:16.718Z,0.548,0.889,4,0.9190130029691821,0.128,0.00784,0.00866,0.341,0.365,156.041,"I got those jet pack blues
Just like Judy, the kind that makes June
Feel like September
I'm the last one that you'll ever remember
And I'm trying to find my peace of mind
Behind these two white highway lines
When the city goes silent
The ringing in my ears gets violent

She's in a long black coat tonight
Waiting for me in the downpour outside
She's singing, ""Baby, come home"" in a melody of tears
While the rhythm of the rain keeps time

And I remember, ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) Did you ever love her? Do you know?
(I remember) Or did you never want to be alone?
(I remember) And she was singing, ""Baby, come home""
(I remember) ""Baby, come home""

I've got those jet pack blues
Fight off the light tonight
And just stay with me
Honey, don't you leave
Don't you remember how we used to split a drink
It never mattered what it was, I think
Our heads were just that close
The sweetness never lasts, you know

She's in a long black coat tonight
Waiting for me in the downpour outside
She's singing, ""Baby, come home"" in a melody of tears
While the rhythm of the rain keeps time

And I remember, ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) Did you ever love her? Do you know?
(I remember) Or did you never want to be alone?
(I remember) And she was singing, ""Baby, come home""
(I remember) ""Baby, come home""

She's in a long black coat tonight
Waiting for me in the downpour outside
She's singing, ""Baby, come home"" in a melody of tears
While the rhythm of the rain keeps time

And I remember, ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) ""Baby, come home""
(I remember) Did you ever love her? Do you know?
(I remember) Or did you never want to be alone?
(I remember) And she was singing, ""Baby, come home""
(I remember) ""Baby, come home""",jet pack blues like judy kind makes june feel like september last one ever remember trying find peace mind behind two white highway lines city goes silent ringing ears gets violent long black coat tonight waiting downpour outside singing baby come home melody tears rhythm rain keeps time remember baby come home remember baby come home remember baby come home remember baby come home remember ever love know remember never want alone remember singing baby come home remember baby come home ive jet pack blues fight light tonight stay honey leave remember used split drink never mattered think heads close sweetness never lasts know long black coat tonight waiting downpour outside singing baby come home melody tears rhythm rain keeps time remember baby come home remember baby come home remember baby come home remember baby come home remember ever love know remember never want alone remember singing baby come home remember baby come home long black coat tonight waiting downpour outside singing baby come home melody tears rhythm rain keeps time remember baby come home remember baby come home remember baby come home remember baby come home remember ever love know remember never want alone remember singing baby come home remember baby come home
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,267933,Eyes Open,Snow Patrol,2021-11-09T18:29:37.458Z,0.563,0.592,9,0.9137913381795844,0.0276,0.209,5.08e-05,0.132,0.136,104.016,"

[Intro]

[Verse 1]
We'll do it all
Everything
On our own
We don't need
Anything or anyone

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?

[Verse 2]
I don't quite know
How to say
How I feel
Those three words
Are said too much
They're not enough

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?
Forget what we're told
Before we get too old
Show me a garden that's burstin' into life

[Verse 3]
Let's waste time
Chasing cars
Around our heads
I need your grace
To remind me
To find my own

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?
Forget what we're told
Before we get too old
Show me a garden that's burstin' into life

[Bridge]
All that I am
All that I ever was
Is here in your perfect eyes, they're all I can see
I don't know where
Confused about how, as well
Just know that these things will never change for us at all

[Chorus]
If I lay here
If I just lay here
Would you lie with me and just forget the world?

[Outro]

",1 well everything need anything anyone lay lay would lie forget world 2 quite know say feel three words said much theyre enough lay lay would lie forget world forget told get old show garden thats burstin life 3 lets waste time chasing cars around heads need grace remind find lay lay would lie forget world forget told get old show garden thats burstin life bridge ever perfect eyes theyre see know confused well know things never change us lay lay would lie forget world
