uri,track,duration_ms,album,artist,played_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
spotify:track:5PzWVmfzu7rePAuFkxPQf0,Repeat Until Death,234080,Birthplace,Novo Amor,2021-11-06T03:47:03.512Z,0.233,0.15,1,-11.736,0.0336,0.982,0.36,0.154,0.0875,143.887,
spotify:track:5LJ4ig9cMvjui3li1mrNRl,Punisher,189622,Punisher,Phoebe Bridgers,2021-11-06T03:43:13.465Z,0.32,0.227,1,-12.803,0.0448,0.986,0.000353,0.108,0.215,83.912,"

[Verse 1]
When the speed kicks in
I go to the store for nothing
And walk right by
The house where you lived with Snow White
I wonder if she ever thought
The storybook tiles on the roof were too much
But from the window, it's not a bad show
If your favorite thing's Dianetics or stucco

[Pre-Chorus]
The drugstores are open all night
The only real reason I moved to the east side
I love a good place to hide in plain sight

[Chorus]
What if I told you
I feel like I know you?
But we never met

[Verse 2]
And here, everyone knows you're the way to my heart
Hear so many stories of you at the bar
Most times, alone, and some, looking your worst
But never not sweet to the trust funds and punishers

[Pre-Chorus]
Man, I wish that I could say the same
I swear I'm not angry, that's just my face
A copycat killer with a chemical cut
Either I'm careless or I wanna get caught
Who I'm not

[Chorus]
What if I told you
I feel like I know you?
But we never met
It's for the best

[Outro]
I can't open my mouth and forget how to talk
'Cause even if I could
Wouldn't know where to start
Wouldn't know when to stop

"
spotify:track:5tyMJlMqaggzvuX7TtlrTe,Love song,229325,Norman Fucking Rockwell!,Lana Del Rey,2021-11-06T03:39:31.487Z,0.384,0.0701,9,-16.512,0.0367,0.966,0.00017,0.0805,0.288,63.425,"

[Verse 1]
In the car, in the car, in the backseat, I'm your baby
We go fast, we go so fast, we don’t move
I believe in a place you take me
Make you real proud of your baby
In your car, I'm a star and I'm burnin’ through you
In your car, I'm a star and I'm burnin' through you

[Chorus]
Oh, be my once in a lifetime
Lyin' on your chest in my party dress
I'm a fuckin' mess, but I
Oh, thanks for the high life
Baby, it's the best, passed the test and yes
Now I’m here with you, and I
Would like to think that you would stick around
You know that I’d just die to make you proud
The taste, the touch, the way we love
It all comes down to make the sound of our love song

[Verse 2]
Dream a dream, here's a scene
Touch me anywhere ’cause I'm your baby
Grab my waist, don't waste any part
I believe that you see me for who I am
So spill my clothes on the floor of your new car
Is it safe, is it safe to just be who we are?
Is it safe, is it safe to just be who we are?

[Chorus]
Oh, be my once in a lifetime
Lyin' on your chest in my party dress
I’m a fuckin' mess, but I
Oh, thanks for the high life
Baby, it's the best, passed the test and yes
Now I'm here with you, and I
Would like to think that you would stick around
You know that I'd just die to make you proud
The taste, the touch, the way we love
It all comes down to make the sound of our love song
The taste, the touch, the way we love
It all comes down to make the sound of our love song

"
spotify:track:5BK0uqwY9DNfZ630STAEaq,gold rush,185320,evermore,Taylor Swift,2021-11-06T03:35:45.610Z,0.512,0.462,9,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,
spotify:track:21dpBHPTV7ythCHBI6Slcw,If By Chance,303653,Safe Haven,Ruth B.,2021-11-06T03:32:44.533Z,0.405,0.279,10,-8.099,0.0334,0.881,0.0,0.0933,0.256,119.85,
spotify:track:4LGJ2pLDvTRnul3EcZoYkX,Like Real People Do,198029,Hozier,Hozier,2021-11-06T03:27:44.576Z,0.569,0.183,7,-14.371,0.0298,0.914,0.404,0.106,0.13,70.06,"

[Verse 1]
I had a thought, dear, however scary
About that night, the bugs and the dirt
Why were you digging? What did you bury
Before those hands pulled me from the earth?

[Chorus]
I will not ask you where you came from
I will not ask and neither should you
Honey, just put your sweet lips on my lips
We should just kiss like real people do

[Verse 2]
I knew that look, dear: eyes always seeking
Was there in someone that dug long ago
So I will not ask you why you were creeping
In some sad way, I already know

[Chorus]
So I will not ask you where you came from
I would not ask and neither would you
Honey, just put your sweet lips on my lips
We should just kiss like real people do

[Chorus]
I could not ask you where you came from
I could not ask and neither could you
Honey, just put your sweet lips on my lips
We could just kiss like real people do

"
spotify:track:1QRKeAlaLqJUeCWMBRP20A,Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack,230893,Mamma Mia! The Movie Soundtrack,Meryl Streep,2021-11-06T03:24:29.615Z,0.463,0.489,2,-7.968,0.0288,0.507,0.0,0.165,0.249,140.034,
spotify:track:7kt9e9LFSpN1zQtYEl19o1,this is me trying,195097,folklore,Taylor Swift,2021-11-06T03:16:00.480Z,0.515,0.476,9,-9.843,0.0328,0.314,4.74e-05,0.171,0.412,135.886,"

[Verse 1]
I've been having a hard time adjusting
I had the shiniest wheels, now they're rusting
I didn't know if you'd care if I came back
I have a lot of regrets about that
Pulled the car off the road to the lookout
Could've followed my fears all the way down
And maybe I don't quite know what to say
But I'm here in your doorway

[Chorus]
I just wanted you to know that this is me trying
I just wanted you to know that this is me trying

[Verse 2]
They told me all of my cages were mental
So I got wasted like all my potential
And my words shoot to kill when I'm mad
I have a lot of regrets about that
I was so ahead of the curve, the curve became a sphere
Fell behind all my classmates and I ended up here
Pouring out my heart to a stranger
But I didn't pour the whiskey

[Chorus]
I just wanted you to know that this is me trying
I just wanted you to know that this is me trying

[Post-Chorus]
At least I'm trying

[Bridge]
And it's hard to be at a party when I feel like an open wound
It's hard to be anywhere these days when all I want is you
You're a flashback in a film reel on the one screen in my town

[Chorus]
And I just wanted you to know that this is me trying
(And maybe I don't quite know what to say)
I just wanted you to know that this is me trying

[Outro]
At least I'm trying

"
spotify:track:65aZDJQwNllPxuLPixJ4YO,Fake Empire,205040,Boxer,The National,2021-11-06T02:57:38.602Z,0.325,0.768,0,-6.791,0.0334,0.143,0.909,0.0731,0.311,101.961,"

[Verse 1]
Stay out super late tonight
Picking apples, making pies
Put a little something in our lemonade and take it with us

[Chorus]
We're half awake in a fake empire
We're half awake in a fake empire

[Verse 2]
Tiptoe through our shiny city
With our diamond slippers on
Do our gay ballet on ice, bluebirds on our shoulders

[Chorus]
We're half awake in a fake empire
We're half awake in a fake empire

[Instrumental Bridge]

[Verse 3]
Turn the light out, say goodnight
No thinking for a little while
Let's not try to figure out everything at once
It's hard to keep track of you falling through the sky

[Chorus]
We're half awake in a fake empire
We're half awake in a fake empire

[Instrumental Outro]

"
spotify:track:50M7nY1oQuNHecs0ahWAtI,I Need My Girl,245240,Trouble Will Find Me,The National,2021-11-06T02:54:17.479Z,0.52,0.436,0,-11.508,0.0355,0.865,0.0651,0.123,0.114,126.053,
spotify:track:0PurA4JVJ8YQgSVopY8fn6,tolerate it,245440,evermore,Taylor Swift,2021-11-06T02:41:12.247Z,0.316,0.361,9,-10.381,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,
