artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Cody Frost,(I should) take better care,(I should) take better care,4UL4KALnWgkFlKHEIJUGUH,0.581,0.209,2,-7.295,0.0293,0.839,2.05e-06,0.106,0.237,125.067,274947,4,Sad,"{'title': 'Cody Frost – (I should) take better care Lyrics', 'lyrics': ""[Verse 1]\nThe plants on my windowsill are dying\nAnd that was the reason last time you saw me crying\nEverything seems to be going fine\nBut I am holding your hand\nAnd you're not holding mine\n\n[Refrain]\nCall me cliché, call me a blag\nCall me a child, but please call me back\nI feel like my brain is under attack\nIt’s making me an insomniac\n\n[Chorus]\nAnd I'm not fighting\nPersonal demons\nThese are just demons\nWe all have to face\nAnd I'm not fighting\nPersonal demons\nThese are just demons\nWe all have to face\n\n[Verse 2]\nI don’t expect anything else from you, my darling\nI certainly don't expect you to stop me from falling\nI should take better care of myself\nBut I couldn't ask anybody to understand my mental health\n[Chorus]\nAnd I'm not fighting\nPersonal demons\nThese are just demons\nWe all have to face\nAnd I'm not fighting\nPersonal demons\nThese are just demons\nWe all have to face\n\n[Refrain]\nCall me cliché, call me a blag\nCall me a child, but please call me back\nI feel like my brain is under attack\nIt's making me an insomniac\n\n[Chorus]\nAnd I'm not fighting\nPersonal demons\nThese are just demons\nWe all have to face\nI'm not fighting\nPersonal demons\nThese are just demons\nWe all have to face, no, no\nI’m not fighting\nPersonal demons""}"
Martha Reeves & The Vandellas,Heat Wave,(Love Is Like A) Heat Wave,3VgrSJEKBRT3xmwzpaxxEF,0.514,0.624,0,-9.287,0.0842,0.513,0.00517,0.307,0.755,166.726,163053,4,Happy,"{'title': 'Martha Reeves & The Vandellas – (Love Is Like A) Heat', 'lyrics': ""[Verse 1]\nWhenever I'm with him\nSomething inside\nStarts to burnin'\nAnd I'm filled with desire\nCould it be a devil in me\nOr is this the way love's supposed to be?\n\n[Chorus]\nIt's like a heat wave\nBurnin' in my heart (It's like a heat wave)\nI can't keep from cryin' (It's like a heat wave)\nIt's tearin' me apart\n\n[Verse 2]\nWhenever he calls my name\nSoft, low, sweet and plain\nRight then, right then\nI feel that burning flame\nHas high blood pressure got a hold on me\nOr is this the way love's supposed to be?\n\n[Chorus]\nIt's like a heat wave\nBurnin' in my heart (It's like a heat wave)\nI can't keep from cryin' (It's like a heat wave)\nIt's tearin' me apart\n\n[Bridge]\nOoh-ooh, ooh, ooh\nOoh, heat wave\nOoh-ooh, ooh, ooh\nOoh, heat wave\n\n[Verse 3]\nSometimes I stare in space\nTears all over my face\nI can't explain it, don't understand it\nI ain't never felt like this before\nNow, that funny feeling has me amazed\nDon't know what to do, my head's in a haze\n\n[Outro]\nIt's like a heat wave\nYeah-yeah, yeah-yeah (But it's all right, girl)\nOh (Go ahead, girl)\nYeah, yeah (Well, it's all right, girl)\nOh (Can't miss it, that's love, girl)\nI feel it burnin' (Don't pass up this chance)\nRight here in my heart (It sounds like a true romance)\nDon't you know it's like a heat wave?\nYeah-yeah, yeah-yeah (Burnin', burnin')\nOh (Burnin', burnin', burnin')\nYeah, don't you know it's like a heat wave?\nBurnin' right here (Burnin', burnin', burnin')\nIn my heart (Burnin', burnin', burnin')\nYeah- yeah, yeah-yeah (Burnin', burnin')\nOh (Burnin', burnin', burnin')""}"
Otis Redding,The Dock of the Bay (Mono),(Sittin' On) the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2,-11.226,0.0312,0.684,1.62e-05,0.081,0.535,103.621,163756,4,Happy,"{'title': ""Otis Redding – (Sittin' On) The Dock of the Bay Lyrics"", 'lyrics': ""[Verse 1]\nSittin' in the mornin' sun\nI'll be sittin' when the evenin' come\nWatching the ships roll in\nAnd then I watch 'em roll away again, yeah\n\n[Chorus]\nI'm sittin' on the dock of the bay\nWatching the tide roll away\nOoo, I'm just sittin' on the dock of the bay\nWastin' time\n\n[Verse 2]\nI left my home in Georgia\nHeaded for the 'Frisco bay\n'Cause I've had nothing to live for\nAnd look like nothin's gonna come my way\n\n[Chorus]\nSo I'm just gonna sit on the dock of the bay\nWatching the tide roll away\nOoo, I'm sittin' on the dock of the bay\nWastin' time\n\n[Bridge]\nLook like nothing's gonna change\nEverything still remains the same\nI can't do what ten people tell me to do\nSo I guess I'll remain the same, yes\n[Verse 3]\nSittin' here resting my bones\nAnd this loneliness won't leave me alone\nIt's two thousand miles I roamed\nJust to make this dock my home\n\n[Chorus]\nNow, I'm just gonna sit at the dock of the bay\nWatching the tide roll away\nOooo-wee, sittin' on the dock of the bay\nWastin' time\n\n[Outro]\n*Whistling*""}"
Sam Cooke,The Man Who Invented Soul,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,0.691,0.507,11,-10.23,0.0343,0.627,0.0,0.457,0.885,128.518,125440,4,Happy,"{'title': 'Sam Cooke – Wonderful World Lyrics', 'lyrics': ""[Verse 1]\nDon't know much about history\nDon't know much biology\nDon't know much about a science book\nDon't know much about the French I took\n\n[Chorus 1]\nBut I do know that I love you\nAnd I know that if you love me, too\nWhat a wonderful world this would be\n\n[Verse 2]\nDon't know much about geography\nDon't know much trigonometry\nDon't know much about algebra\nDon't know what a slide rule is for\n\n[Chorus 2]\nBut I do know one and one is two\nAnd if this one could be with you\nWhat a wonderful world this would be\n\n[Bridge]\nNow, I don't claim to be an A student\nBut I'm trying to be\nFor maybe by being an A student, baby\nI can win your love for me\n[Verse 1]\nDon't know much about history\nDon't know much biology\nDon't know much about a science book\nDon't know much about the French I took\n\n[Chorus 1]\nBut I do know that I love you\nAnd I know that if you love me, too\nWhat a wonderful world this would be\n\n[Verse 3]\nLa ta ta ta ta ta ta (History)\nHmm-mm-mm (Biology)\nWhoa, la ta ta ta ta ta ta (Science book)\nHmm-mm-mm (French I took)\n\n[Chorus 1]\nYeah, but I do know that I love you\nAnd I know that if you love me, too\nWhat a wonderful world this would be""}"
Aretha Franklin,Lady Soul (With Bonus Selections),(You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,0.603,0.271,5,-10.083,0.0284,0.679,0.0,0.141,0.405,110.89,165333,3,Happy,"{'title': 'Aretha Franklin – (You Make Me Feel Like) A Natural ', 'lyrics': ""[Verse 1]\nLooking out on the morning rain\nI used to feel so uninspired\nAnd when I knew I had to face another day\nLord, it made me feel so tired\nBefore the day I met you\nLife was so unkind\nAnd you're the key to my peace of mind\n\n[Chorus]\n'Cause you make me feel\nYou make me feel\nYou make me feel like a natural woman\n(Woman)\n\n[Verse 2]\nWhen my soul was in the lost and found\nYou came along to claim it\nI didn't know just what was wrong with me\nTill your kiss helped me name it\nNow I'm no longer doubtful of what I'm living for\nAnd if I make you happy, I don't need to do more\n\n[Chorus]\n'Cause you make me feel\nYou make me feel\nYou make me feel like a natural woman\n(Woman)\n\n[Verse 3]\nOh baby, what you've done to me (What you've done to me)\nYou made me feel so good inside (Good inside)\nAnd I just wanna be (Wanna be)\nClose to you, you make me feel so alive\n\n[Chorus]\nYou make me feel\nYou make me feel\nYou make me feel like a natural woman\n(Woman)\nYou make me feel\nYou make me feel\nYou make me feel like a natural woman\n(Woman)\nYou make me feel\nYou make me feel\nYou make me feel like a natural woman""}"
Jackie Wilson,The Ultimate Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,4TBBPZks71c60whhq0PgdP,0.631,0.69,2,-6.676,0.0531,0.176,0.0,0.121,0.938,94.574,181067,4,Happy,"{'title': 'Jackie Wilson – (Your Love Keeps Lifting Me) Highe', 'lyrics': ""Your love is lifting me higher\n\nYour love, lifted me higher\nThan I've ever, been lifted before\nSo keep it it up\nQuench my desire\nAnd I'll be at your side\nForever more\n\nYou know your love (your love keeps lifting me)\nKeep on lifting (love keeps lifting me)\nHigher (lifting me)\nHigher and higher (higher)\nI said your love (your love keeps lifting me)\nKeep on (love keeps lifting me)\nLifting me (lifting me)\nHigher and higher (higher)\n\nListen\nNow once I was downhearted\nDisappointment was my closest friend\nBut then you came and it soon departed\nAnd you know he never\nShowed his face again\n\nThat's why your love (your love keeps lifting me)\nKeep on lifting me (love keeps lifting me)\nHigher (lifting me)\nHigher and higher (higher)\nI said your love (your love keeps lifting me)\nKeep on (love keeps lifting me)\nLifting me (lifting me)\nHigher and higher (higher)\n\nI'm so glad, I finally found you\nYes, that one in a million girl\nAnd now with my loving arms around you\nHoney, I can stand up\nAnd face the world\n\nLet me tell you, your love (your love keeps lifting me)\nKeep on lifting me (love keeps lifting me)\nHigher (lifting me)\nHigher and higher (higher)\nI said your love (your love keeps lifting me)\nKeep on (love keeps lifting me)\nLifting me (lifting me)\nHigher and higher (higher)\n\nAlright, now sock it to me (lifting, lifting, lifting)\nAlright, lift me up woman (your love keeps lifting me)\nKeep my love going, now (lifting me)\nHigher and higher\nI said keep on lifting (lifting, lifting,lifting)\nLift me up mama (your love keeps lifting me)\nKeep on lifting  (lifting me)\nHigher and higher""}"
Beyoncé,BEYONCÉ [Platinum Edition],***Flawless (feat. Chimamanda Ngozi Adichie),7tefUew2RUuSAqHyegMoY1,0.476,0.688,1,-7.799,0.245,0.0953,0.000645,0.438,0.352,140.553,250960,4,Angry,"{'title': 'Beyoncé – ***Flawless Lyrics', 'lyrics': '[Intro: Star Search excerpt]\n""Your challengers are a young group from Houston\nWelcome Beyoncé, Lativia, Nina, Nicky, Kelly and Ashley\nThe hip-hop-rappin\' Girls\' TYME!""\n\n[Part 1: Bow Down]\n\n[Chorus]\nI\'m out that H-Town, comin\'— comin\' down\nI\'m comin\' down, drippin\' candy on the ground\nH—H-Town—Town, I\'m comin\' down\nComin\' down, drippin\' candy on the ground\n\n[Verse 1: Beyoncé & Jay-Z]\nI know when you were little girls\nYou dreamt of being in my world\nDon\'t forget it, don\'t forget it\nRespect that, bow down, bitches (Crown)\nI took some time to live my life\nBut don\'t think I\'m just his little wife\nDon\'t get it twisted, get it twisted\nThis my shit, bow down, bitches\n\n[Bridge: Beyoncé & Jay-Z]\nBow down, bitches— Bow— Bow down, bitches (Crown)\nBow down, bitches— Bow— Bow down, bitches (Crown)\nH-Town vicious, H—H-Town vicious\nI\'m so crown— crown— bow down, bitches!\n\n[Chorus]\nI\'m out that H-Town, comin\'— comin\' down\nI\'m comin\' down, drippin\' candy on the ground\nH—H-Town—Town, I\'m comin\' down\nCom—Com—Comin\' down, drippin\' candy on the ground\n\n[Part 2: ***Flawless]\n\n[Intro: Chimamanda Ngozi Adichie]\nWe teach girls to shrink themselves, to make themselves smaller\nWe say to girls: ""You can have ambition, but not too much\nYou should aim to be successful, but not too successful\nOtherwise, you will threaten the man""\nBecause I am female, I am expected to aspire to marriage\nI am expected to make my life choices always keeping in mind that marriage is the most important (C—Candy on the ground)\nNow, marriage can be a source of joy and love and mutual support (Dum-dah-de-da)\nBut why do we teach girls to aspire to marriage and we don\'t teach boys the same? (Do-da-da, do-do, do-do-do-da)\nWe raise girls to see each other as competitors\nNot for jobs or for accomplishments, which I think can be a good thing (Com—Com—Comin\' down, drippin\' candy on the ground)\nBut for the attention of men\nWe teach girls that they cannot be sexual beings in the way that boys are (Dum-dah-de-da)\nFeminist: A person who believes in the social, political, and economic equality of the sexes (Do-da-da, do-do, do-do-do-da)\n\n[Chorus: Beyonce]\nYou wake up, flawless, post up, flawless\nRiding \'round in it, flawless, flossin\' on that, flawless\nThis diamond, flawless, my diamond, flawless\nThis rock, flawless, my Roc, flawless\nI woke up like this, I woke up like this\nWe flawless, ladies, tell \'em\nI woke up like this, I woke up like this\nWe flawless, ladies, tell \'em\nSay, ""I look so good tonight"" (Right— Right— Right—)\nGoddamn, Goddamn\nSay, ""I look so good tonight"" (Right— Right— Right—)\nGoddamn, Goddamn, Goddamn!\n\n[Bridge: Beyoncé]\nMy mama taught me good home training\nMy daddy taught me how to love my haters\nMy sister told me I should speak my mind\nMy man make me feel so Goddamn fine, I\'m flawless!\n\n[Chorus: Beyonce]\nYou wake up, flawless, post up, flawless\nRiding \'round in it, flawless, flossin\' on that, flawless\nThis diamond, flawless, my diamond, flawless\nThis rock, flawless, my Roc, flawless\nI woke up like this, I woke up like this\nWe flawless, ladies, tell \'em\nI woke up like this, I woke up like this\nWe flawless, ladies, tell \'em\nSay, ""I look so good tonight"" (Right— Right— Right—)\nGoddamn, Goddamn\nSay, ""I look so good tonight"" (Right— Right— Right—)\nGoddamn, Goddamn, Goddamn!\n\n[Outro: Star Search excerpt]\n""The judges give champion Skeleton Crew 4 stars, a perfect score\nThe challenger, Girls\' TYME, receives... 3 stars\nSkeleton Crew, champions once again\nCongratulations, we\'ll see you next week""'}"
WALLA,101,101,3HYXqOAm2Q8b2OyYqzv8d4,0.71,0.827,0,-5.244,0.032,0.0437,1.28e-05,0.0896,0.833,110.003,203500,4,Energy,"{'title': 'Walla – 101 Lyrics', 'lyrics': '[Verse 1]\nDon\'t you know about this road of rust?\nPeople always want to say ""You\'ll be fine""\nBut they don\'t know the pain I\'m driving through\nThey don\'t know about the traffic in my life\n\n[Chorus]\nI\'m driving down 101\nI believe, I believe, I believe, I believe\nAll my friends are weighing down on me\nAnd normally, normally, normally\nI see that they are right\n\n[Verse 2]\nMy brothers give me strength when I am alone\nThey help me push on through the dark\nTo the other side\nMy sisters give me love when I am down\nTheir words are honey to my ears, yeah\nEvery time\n\n[Chorus]\nI\'m driving down 101\nI believe, I believe, I believe, I believe\nAll my friends are weighing down on me\nAnd normally, normally, normally\nI see that they are right\nI\'m driving down 101\nI believe, I believe, I believe, I believe\nAll my friends are weighing down on me\nAnd normally, normally, normally\nI see that they are right\n\n[Bridge]\nAlways alright, always on\nAlways alright, always on\nAlways alright, always on\nAlways alright, always on\n\n[Chorus]\nI\'m driving down 101\nI believe, I believe, I believe, I believe\nAll my friends are weighing down on me\nAnd normally, normally, normally\nI see that they are right'}"
One Direction,FOUR (Deluxe),18,3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,Sad,"{'title': 'One Direction – 18 Lyrics', 'lyrics': ""[Verse 1: Harry]\nI got a heart and I got a soul\nBelieve me, I will use them both\nWe made a start, be it a false one I know\nBaby, I don't want to feel alone\n\n[Pre-Chorus: Zayn]\nSo kiss me where I lay down\nMy hands pressed to your cheeks\nA long way from the playground\n\n[Chorus: Harry]\nI have loved you since we were eighteen\nLong before we both thought the same thing\nTo be loved and to be in love\nAll I can do is say that these arms were made for holdin’ you, oh\nI wanna love like you made me feel\nWhen we were eighteen\n\n[Verse 2: Niall & Liam]\nWe took a chance, God knows we've tried\nYet all along, I knew we'd be fine\nSo pour me a drink, oh love\nLet's split the night wide open\nAnd we'll see everything we can\nLiving love in slow motion, motion, motion\n[Pre-Chorus: Zayn]\nSo kiss me where I lay down\nMy hands pressed to your cheeks\nA long way from the playground\n\n[Chorus: All & Niall]\nI have loved you since we were eighteen\nLong before we both thought the same thing\nTo be loved and to be in love\nAll I can do is say that these arms were made for holding you\nAnd I wanna love like you made me feel\nWhen we were eighteen\nWhen we were eighteen\nOh Lord, when we were eighteen\n\n[Bridge: Zayn & Louis & Harry]\nKiss me where I lay down\nMy hands pressed to your cheeks\nA long way from the playground\nI have loved you since we were eighteen\nLong before we both thought the same thing\nTo be loved and to be in love\n\n[Chorus: All & Harry]\nAnd all I can do is say that these arms were made for holding you\nAnd I wanna love like you made me feel\nWhen we were eighteen\nI wanna love like you made me feel\nWhen we were eighteen\nI wanna love like you made me feel\nWhen we were eighteen""}"
Milo Greene,Milo Greene,1957,08cXy6KUizaAelYXtcew3w,0.388,0.595,1,-9.799,0.0325,0.663,5.58e-05,0.178,0.596,190.043,204213,4,Calm,"{'title': 'Milo Greene – 1957 Lyrics', 'lyrics': ""[Intro]\nOh oh oh oh\nOh oh oh oh\nOh oh oh oh\n\n[Verse 1]\nYour house that sits behind me is covered in ivy green\nThe windows that we watch from are old and chipping at the beam\n\n[Chorus]\nTakes me away, takes me away, takes me away\nTakes me away, takes me away, takes me away\nOooh oooh oooh oooh\nOooh oooh oooh oooh\n\n[Verse 2]\nThe scent you wear moves in lines from your apartment into mine, mine\nYou act like you don't know me\nMy god you tempt my anxious mind, mind\n\n[Chorus]\nTakes me away, takes me away, takes me away\nTakes me away, takes me away, takes me away\nOooh oooh oooh oooh\nOooh oooh oooh oooh\n[Bridge]\nWould it be much better if I knew, nothing about you\nWould it be much better if I knew, nothing about you\nWould it be much better if I knew, nothing about you\nWould it be much better if I knew, nothing about you\n\n[Refrain]\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\nI'll go I'll go I'll go I\n\n[Chorus with Refrain repeating]\nTakes me away takes me away take me away\nTakes me away takes me away take me away""}"
